Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
Lehinch,Clare,52.9334632,-9.3440769,36,2,0,2,794,108,942
Leighlinbridge,Carlow,52.7360519,-6.9759183,126,0,0,8,992,122,1248
Leitrim,Leitrim,53.99019,-8.06501,80,0,4,6,696,126,912
Leixlip,Kildare,53.3638428,-6.4900033,2236,94,32,1842,11794,4658,20656
Lemybrien,Waterford,52.1683402,-7.5195837,20,0,6,0,272,6,304
Letterkenny,Donegal,54.9558392,-7.7342787,2608,14,68,30,19522,3916,26158
Lifford,Donegal,54.8328751,-7.4856389,192,0,8,2,1268,182,1652
Limerick city and suburbs,Limerick,52.663839,-8.6267299,9668,368,194,318,69568,30006,110122
Liscannor,Clare,52.9383667,-9.3922452,6,0,0,0,100,6,112
Liscarroll,Cork,52.2600728,-8.8041711,14,0,0,0,190,40,244
Lisdoonvarna,Clare,53.0301669,-9.2897106,10,2,0,0,294,154,460
Lismore,Waterford,52.1358184,-7.9376803,54,4,20,0,1030,510,1618
Lisronagh,Tipperary,52.417443,-7.7028889,26,2,2,0,230,16,276
Lissycasey,Clare,52.7446724,-9.158153,86,0,2,0,512,4,604
Listowel,Kerry,52.4460488,-9.4853655,224,4,18,12,3958,884,5100
Littleton,Tipperary,52.6369829,-7.735419,60,0,2,4,286,82,434
Lixnaw,Kerry,52.4064615,-9.6181275,128,2,4,0,794,70,998
Loch An Iúir,Donegal,54.9981527,-8.2915053,72,0,0,0,310,26,408
Loch Gowna,Cavan,53.8737049,-7.5336731,8,0,0,0,144,36,188
Longford,Longford,53.7276296,-7.7932573,760,12,36,212,6942,3074,11036
Longwood,Meath,53.4550101,-6.9247866,136,2,14,20,1482,706,2360
Loughglinn,Roscommon,53.8225476,-8.561583,10,0,4,2,154,34,204
Loughrea,Galway,53.1989136,-8.5660931,418,8,20,10,5490,1404,7350
Loughshinny,Dublin,53.549228,-6.0829049,108,6,4,62,494,122,796
Louisburgh,Mayo,53.7631376,-9.8090849,12,0,2,0,300,64,378
Louth,Louth,53.9507955,-6.5406821,142,2,2,2,610,102,860
Lusk,Dublin,53.5263264,-6.1658841,1536,48,22,634,7048,2784,12072
Lyre,Cork,52.0817595,-8.8580581,22,0,0,0,148,50,220
Macroom,Cork,51.9048039,-8.9588478,160,6,24,8,3924,1064,5186
Maigh Cuilinn,Galway,53.3387481,-9.1814776,284,6,8,10,2096,442,2846
Malahide,Dublin,53.4509236,-6.1501378,2010,46,44,3284,12698,4340,22422
Malin,Donegal,55.2949279,-7.2630825,2,0,0,0,64,8,74
Mallow,Cork,52.1389762,-8.6539164,582,22,62,428,12144,2932,16170
Manor Kilbride,Wicklow,53.1986734,-6.4669351,20,0,4,2,184,6,216
Manorcunningham,Donegal,54.9552585,-7.6233678,178,0,6,2,766,24,976
Manorhamilton,Leitrim,54.3048735,-8.1766956,64,2,12,4,1306,522,1910
Maynooth,Kildare,53.3812896,-6.5918499,1766,84,34,2166,12062,7018,23130
Midleton,Cork,51.9143321,-8.1726276,976,32,24,718,13762,3020,18532
Milford,Cork,51.8721994,-8.4998655,20,0,0,0,254,20,294
Milford,Donegal,55.0883927,-7.6989621,74,4,8,0,932,160,1178
Millstreet,Cork,52.0601318,-9.0647121,76,0,20,18,1642,314,2070
Milltown,Galway,53.6137016,-8.898962,28,0,4,2,242,8,284
Milltown,Kerry,52.1451912,-9.7175069,70,2,4,4,1042,296,1418
Milltown,Kildare,53.2051083,-6.8611927,28,4,14,12,366,26,450
Miltown Malbay,Clare,52.8562013,-9.4007763,36,0,2,4,852,116,1010
Mitchelstown,Cork,52.2662127,-8.2698863,110,4,4,2,3010,1094,4224
Moate,Westmeath,53.3949987,-7.7186188,140,6,6,22,2698,558,3430
Model Village or Dripsey,Cork,51.9143772,-8.7420906,56,0,4,0,306,10,376
Mogeely,Cork,51.8861108,-8.4989926,64,4,2,4,554,24,652
Mohill,Leitrim,53.9218288,-7.8653101,26,0,6,14,742,222,1010
Monaghan,Monaghan,54.2492434,-6.9683082,466,10,22,22,6608,1998,9126
Monamolin,Wexford,52.556856,-6.3496134,58,0,0,0,252,18,328
Monard,Tipperary,52.5107814,-8.2232875,28,0,6,8,260,50,352
Monasterevin,Kildare,53.1400651,-7.060377,530,10,26,248,5018,966,6798
Moneenroe,Kilkenny,52.8321545,-7.1717865,60,0,6,2,744,62,874
Moneygall,Offaly,52.8797376,-7.9578079,48,0,2,2,360,34,446
Monivea,Galway,53.374262,-8.702721,26,0,4,8,508,62,608
Mooncoin,Kilkenny,52.2951348,-7.2565554,72,0,6,6,976,214,1274
Moroe,Limerick,52.649444,-8.39949,192,4,8,0,1510,232,1946
Mountbellew,Galway,53.47188,-8.5049,32,0,2,2,788,126,950
Mountcharles,Donegal,54.6474421,-8.1947189,98,2,4,2,660,82,848
Mountcollins,Limerick,52.3220585,-9.2386125,22,2,4,0,220,4,252
Mountmellick,Laois,53.1181481,-7.3267379,278,2,14,140,4194,1190,5818
Mountrath,Laois,53.0025597,-7.4751396,160,4,10,26,1590,456,2246
Mountshannon,Clare,52.9337525,-8.4330044,28,0,2,0,220,28,278
Moville,Donegal,55.1890182,-7.0400533,106,2,6,2,1038,280,1434
Moylough,Galway,53.4877053,-8.565876,54,0,0,2,648,50,754
Mucklagh,Offaly,53.250532,-7.5501754,102,2,6,26,930,116,1182
Muff,Donegal,55.0680564,-7.2689498,220,4,10,0,1458,108,1800
Muinebeag (Bagenalstown),Carlow,52.7007292,-6.9570556,102,4,14,60,2138,1054,3372
Mullagh,Cavan,53.8115174,-6.9459818,322,2,10,2,1490,304,2130
Mullaghmore,Sligo,54.4655463,-8.4494545,10,0,4,2,114,8,138
Mullinahone,Tipperary,52.512032,-7.5057086,66,2,0,0,418,98,584
Mullinavat,Kilkenny,52.3679303,-7.1711881,18,0,0,2,164,20,204
Mullingar,Westmeath,53.5259334,-7.3381378,1004,64,90,544,19164,5576,26442
Mulranny,Mayo,53.9061783,-9.7813773,52,0,0,0,206,52,310
Multyfarnham,Westmeath,53.6252723,-7.3893159,42,0,4,4,360,96,506
Mungret,Limerick,52.6356745,-8.693502,42,0,0,2,422,38,504
Murntown,Wexford,52.28724,-6.5222437,28,2,0,0,376,32,438
Myrtleville,Cork,51.7829961,-8.3003542,70,0,10,6,952,64,1102
Myshall,Carlow,52.6858791,-6.7804051,52,0,0,2,260,26,340
Mín Lárach,Donegal,55.1451784,-8.1850861,64,0,2,4,356,20,446
Na Dúnaibh,Donegal,55.1948628,-7.8369654,122,0,6,0,502,38,668
Na Forbacha,Galway,53.24918,-9.20495,80,0,0,4,812,124,1020
Naas,Kildare,53.2205654,-6.6593079,2620,128,76,1500,23488,6738,34550
Narraghmore,Kildare,53.0486801,-6.8294142,100,4,0,6,440,18,568
Naul,Dublin,53.5850362,-6.2889999,104,0,6,26,712,128,976
Navan,Meath,53.647092,-6.6966605,4880,88,96,140,28866,9904,43974
Nenagh,Tipperary,52.8642968,-8.1975561,450,14,24,22,8688,2992,12190
New Ross,Wexford,52.3958337,-6.9454567,668,14,34,12,6710,1810,9248
Newbawn,Wexford,52.3428304,-6.7912642,24,0,0,0,142,18,184
Newbliss,Monaghan,54.1576466,-7.1368133,44,0,0,0,326,50,420
Newbridge,Kildare,53.1750758,-6.8047467,1836,94,66,1736,20074,7288,31094
Newcastle,Dublin,53.2998135,-6.5010237,780,20,10,126,4108,1034,6078
Newcastle,Tipperary,52.2725965,-7.8112834,64,0,2,0,264,94,424
Newcastle,Wicklow,53.0733552,-6.057185,160,8,4,62,938,94,1266
Newcastle West,Limerick,52.4492389,-9.0499054,444,4,14,12,6540,1564,8578
Newmarket,Cork,52.2140232,-9.0030815,48,0,8,6,958,128,1148
Newmarket-On-Fergus,Clare,52.7605328,-8.8957501,208,8,4,2,1848,286,2356
Newport,Mayo,53.8852758,-9.5463685,68,0,8,2,652,134,864
Newport,Tipperary,52.7108963,-8.4062084,112,2,6,0,2352,538,3010
Newtown,Cork,51.8282409,-8.3803862,30,0,6,0,444,70,550
Newtown,Laois,52.8630266,-7.1082572,36,0,2,0,274,18,330
Newtown,Tipperary,52.8778127,-8.292807,24,0,6,0,484,68,582
Newtowncunningham,Donegal,54.9988175,-7.5127836,246,2,4,2,1014,176,1444
Newtownforbes,Longford,53.7654838,-7.835621,112,2,2,14,710,114,954
Newtownmountkennedy,Wicklow,53.0927815,-6.112023,670,14,26,68,3318,576,4672
Newtownsandes,Kerry,52.50166,-9.3705609,40,0,0,0,308,42,390
Nobber,Meath,53.8217066,-6.7479398,28,0,0,0,280,152,460
Nurney,Kildare,53.0966332,-6.9482121,84,0,6,16,440,114,660
O'Briensbridge-Montpelier,Clare,52.7506039,-8.496743,56,0,10,0,430,12,508
Oilgate,Wexford,52.42101,-6.52994,40,0,4,0,352,46,442
Oldcastle,Meath,53.7700178,-7.1624118,44,2,16,4,1108,604,1778
Oldtown,Dublin,53.522678,-6.3154307,92,2,6,2,530,54,686
Omeath,Louth,54.0882604,-6.2593365,124,2,6,0,558,92,782
Oola,Limerick,52.5296598,-8.2596358,36,0,2,4,258,28,328
Oram,Monaghan,54.1508756,-6.7016152,16,0,4,0,164,24,208
Oranmore,Galway,53.2647506,-8.9297335,436,18,10,120,5970,1400,7954
Oughterard,Galway,53.4285481,-9.3189472,134,6,8,4,1696,336,2184
Oulart,Wexford,52.5039145,-6.3908617,22,0,2,4,214,24,266
Palatine,Carlow,52.8649974,-6.8610348,16,0,2,4,348,6,376
Pallasgreen,Limerick,52.54873,-8.355185,52,0,2,0,202,20,276
Pallaskenry,Limerick,52.6447411,-8.8674281,12,0,4,0,584,168,768
Parteen,Clare,52.696836,-8.6149881,32,2,4,4,776,160,978
Passage East,Waterford,52.2396938,-6.974395,40,4,2,0,712,74,832
Passage West-Monkstown,Cork,51.8485442,-8.3325695,654,24,28,6,6240,678,7630
Patrickswell,Limerick,52.5980577,-8.7072844,114,4,4,0,728,134,984
Paulstown,Kilkenny,52.6793223,-7.021359,154,2,2,0,996,132,1286
Pettigo,Donegal,54.54943,-7.8320339,20,0,2,0,96,16,134
Piercetown,Wexford,52.28786,-6.48747,16,0,2,0,296,36,350
Piltown,Kilkenny,52.3511631,-7.3313381,184,2,8,2,1212,208,1616
Pollagh,Offaly,53.2768407,-7.709173,54,0,2,0,178,18,252
Portarlington,Laois,53.1616096,-7.1895142,1172,18,36,650,7934,1676,11486
Portlaoise,Laois,53.0328123,-7.2987933,2156,64,84,792,20472,4610,28178
Portlaw,Waterford,52.2892657,-7.3147439,380,8,4,2,1696,332,2422
Portmagee,Kerry,51.8854295,-10.36194,30,0,4,0,68,30,132
Portmarnock,Dublin,53.418712,-6.1549015,724,42,16,2170,6590,2954,12496
Portrane,Dublin,53.4932,-6.11462,166,10,8,136,1006,118,1444
Portroe,Tipperary,52.8847,-8.344875,62,0,6,0,454,44,566
Portumna,Galway,53.0927811,-8.2185406,32,0,6,12,1286,448,1784
Prosperous,Kildare,53.2881253,-6.7550083,310,6,8,34,2222,552,3132
Puckaun,Tipperary,52.931884,-8.2385501,24,0,0,0,222,28,274
Quigleys Point,Donegal,55.1248808,-7.1949283,52,0,0,0,192,12,256
Quilty,Clare,52.8172567,-9.4559219,6,0,0,0,176,8,190
Quin,Clare,52.8175778,-8.8637803,104,4,6,2,1004,190,1310
Raharney,Westmeath,53.5241052,-7.0960895,30,2,0,4,140,12,188
Ramelton,Donegal,55.0359,-7.64809,204,0,6,0,1006,166,1382
Rampark,Louth,53.97515,-6.48617,78,0,2,4,444,80,608
Rann Na Feirste,Donegal,55.034738,-8.3063621,74,0,2,0,324,30,430
Raphoe,Donegal,54.8738705,-7.5994379,50,0,10,0,784,246,1090
Rathangan,Kildare,53.2210179,-6.9945422,98,10,8,94,3268,784,4262
Rathard-Aherla,Cork,51.8536728,-8.7326019,106,0,6,0,736,18,866
Rathcoffey,Kildare,53.3342027,-6.6786362,56,0,2,12,314,64,448
Rathcoole,Cork,52.0942583,-8.9740651,42,0,2,2,218,36,300
Rathcoole,Dublin,53.2817307,-6.466167,422,32,16,148,4636,2108,7362
Rathcormac,Cork,52.07613,-8.28176,388,6,10,4,1890,518,2816
Rathdowney,Laois,52.8555198,-7.5847973,54,0,4,24,1164,408,1654
Rathdrum,Wicklow,52.9323123,-6.2311012,80,6,8,110,1974,614,2792
Rathkeale,Limerick,52.5225255,-8.9403655,32,0,10,0,590,312,944
Rathmolyon,Meath,53.488177,-6.8036692,84,0,4,12,502,24,626
Rathmore,Kerry,52.0842484,-9.2184337,126,2,6,12,868,40,1054
Rathmullan,Donegal,55.0970707,-7.5363061,50,0,4,2,386,82,524
Rathnew,Wicklow,52.9946004,-6.082812,276,12,22,44,3490,818,4662
Rathowen,Westmeath,53.656076,-7.5203959,32,0,2,0,132,36,202
Rathtoe,Carlow,52.835854,-6.9324744,42,2,0,4,352,50,450
Rathvilly,Carlow,52.8798345,-6.6960481,138,2,8,0,1012,146,1306
Ratoath,Meath,53.5062898,-6.4656801,1544,32,18,116,9354,3642,14706
Rear Cross,Tipperary,52.6863722,-8.2370086,20,0,6,0,114,36,176
Redcross,Wicklow,52.889744,-6.1452741,60,0,0,8,218,38,324
Rhode,Offaly,53.3499888,-7.1989629,156,0,4,0,712,82,954
Ringaskiddy-Loughbeg,Cork,51.8304283,-8.3219487,62,0,8,2,648,86,806
Rivermeade,Dublin,53.45355,-6.28999,132,0,2,0,354,116,604
Riverstick,Cork,51.773023,-8.4960524,238,2,0,2,888,34,1164
Riverstown,Sligo,54.1304398,-8.3952507,38,0,4,2,376,58,478
Robertstown,Kildare,53.269268,-6.8153164,86,2,4,6,792,72,962
Robinstown,Meath,53.5946777,-6.7280973,74,0,4,2,396,108,584
Rochfortbridge,Westmeath,53.4146417,-7.2996835,136,0,24,6,1194,468,1828
Rockcorry,Monaghan,54.1178982,-7.0148381,46,2,4,0,264,46,362
Roosky,Leitrim,53.827075,-7.9168239,94,0,4,12,654,110,874
Roscommon,Roscommon,53.6340165,-8.1819459,254,10,32,70,5814,1560,7740
Roscrea,Tipperary,52.9551789,-7.7984696,388,8,52,22,4808,1314,6592
Rosegreen,Tipperary,52.469442,-7.8327776,22,0,0,0,216,34,272
Rosscahill,Galway,53.38712,-9.24623,38,0,0,0,392,30,460
Rosscarbery,Cork,51.57767,-9.038,14,2,4,0,566,108,694
Rosses Point,Sligo,54.3047546,-8.5640206,68,2,0,8,764,118,960
Rosslare,Wexford,52.2720275,-6.3892254,218,2,8,32,1470,210,1940
Rosslare Harbour,Wexford,52.2513061,-6.3414908,342,2,24,8,1712,258,2346
Roundstone,Galway,53.3964208,-9.9190184,32,0,2,0,124,30,188
Roundwood,Wicklow,53.0657875,-6.2241877,204,4,4,8,778,224,1222
Rush,Dublin,53.5256684,-6.0911586,1790,56,62,1052,8350,2900,14210
Saggart,Dublin,53.284435,-6.4405346,346,30,2,418,2792,834,4422
Saleen,Cork,51.8637224,-8.1618258,86,2,2,10,658,72,830
Sallins,Kildare,53.251067,-6.6652312,1018,28,18,1018,5270,1454,8806
Scarriff-Tuamgraney,Clare,52.8985172,-8.541013,18,0,6,0,470,172,666
Schull,Cork,51.526867,-9.5479801,14,4,6,0,432,180,636
Scotshouse,Monaghan,54.1226216,-7.2471111,74,0,0,0,316,42,432
Scotstown,Monaghan,54.2778889,-7.0669514,68,2,0,6,490,32,598
Shanagarry,Cork,51.8527122,-8.0299249,90,2,8,12,700,78,890
Shanagolden,Limerick,52.5746155,-9.1004049,12,0,0,0,130,8,150
Shanbally,Cork,51.8334141,-8.3570879,32,2,0,0,402,68,504
Shanballymore,Cork,52.2187977,-8.4759914,30,0,2,4,166,38,240
Shannon,Clare,52.7117822,-8.8783365,696,34,38,12,8318,3710,12808
Shannonbridge,Offaly,53.279632,-8.0447213,36,0,0,0,98,6,140
Shercock,Cavan,53.9950108,-6.8979854,70,0,2,2,500,212,786
Shillelagh,Wicklow,52.7545156,-6.5334605,36,0,0,0,376,52,464
Shinrone,Offaly,52.9844035,-7.9245622,82,0,6,4,498,108,698
Shrule,Mayo,53.5202745,-9.0883693,50,0,0,0,364,32,446
Silvermines,Tipperary,52.794361,-8.2366272,36,2,2,0,280,26,346
Sixmilebridge,Clare,52.7420054,-8.7724005,446,10,18,46,2966,478,3964
Skerries,Dublin,53.5805519,-6.1078779,606,34,26,2244,6622,3734,13266
Skibbereen,Cork,51.5559244,-9.2621303,68,2,12,2,2382,880,3346
Slane,Meath,53.7086474,-6.5436512,340,2,6,2,1192,276,1818
Slieverue,Kilkenny,52.2828142,-7.0689659,50,2,2,2,424,66,546
Sligo,Sligo,54.2766103,-8.4760888,978,60,50,102,14140,7430,22760
Smithborough,Monaghan,54.2213027,-7.0981545,80,0,2,0,550,52,684
Sneem,Kerry,51.8373942,-9.8983245,46,0,0,0,184,146,376
Spa,Kerry,52.27539,-9.7885,6,0,0,6,380,40,432
Spanish Point,Clare,52.8466428,-9.4397015,8,0,0,10,220,16,254
St. Johnston,Donegal,54.93468,-7.46136,90,0,0,0,410,76,576
Stamullen,Meath,53.63023,-6.26834,614,4,10,202,3982,870,5682
Stoneyford,Kilkenny,52.5370387,-7.2293169,14,0,0,2,252,26,294
Stradbally,Laois,53.0157983,-7.1494717,186,0,10,18,1126,200,1540
Stradbally,Waterford,52.1313569,-7.4608978,54,0,0,0,516,30,600
Straffan,Kildare,53.3118851,-6.6088248,132,2,0,28,1148,260,1570
Strandhill,Sligo,54.2699901,-8.5989403,134,2,4,16,1956,318,2430
Stratford,Wicklow,52.9878852,-6.6750765,12,0,0,0,214,36,262
Strokestown,Roscommon,53.7758666,-8.1035319,46,0,2,2,620,194,864
Summerhill,Meath,53.4813655,-6.7325147,180,2,10,14,894,106,1206
Suncroft,Kildare,53.1075785,-6.8613827,50,2,0,8,370,70,500
Swanlinbar,Cavan,54.1937636,-7.7047113,24,0,6,0,114,94,238
Swinford,Mayo,53.9437021,-8.950006,44,0,4,2,1068,386,1504
Swords,Dublin,53.4557467,-6.2197406,10364,282,90,422,32242,10730,54130
Taghmon,Wexford,52.3229838,-6.6546699,112,0,12,0,430,152,706
Tagoat,Wexford,52.2454387,-6.3883001,88,0,2,2,508,56,656
Tallanstown,Louth,53.9200662,-6.5471834,110,0,0,8,634,134,886
Tallow,Waterford,52.0921407,-8.0070302,166,0,4,0,712,258,1140
Tarbert,Kerry,52.5724738,-9.3745372,10,0,2,0,360,148,520
Templemore,Tipperary,52.794802,-7.8398609,34,8,12,54,1582,620,2310
Templetuohy,Tipperary,52.78847,-7.72165,24,0,0,0,212,40,276
Termonbarry,Roscommon,53.7422919,-7.9206435,82,4,2,10,772,46,916
Termonfeckin,Louth,53.7610139,-6.2718432,298,4,8,40,1942,198,2490
The Ballagh,Wexford,52.47257,-6.43323,62,0,6,0,574,50,692
The Commons,Tipperary,52.6272156,-7.5466532,8,2,0,4,104,34,152
The Swan,Laois,52.88901,-7.16056,48,0,0,4,270,32,354
Thomastown,Kilkenny,52.5264574,-7.1383205,150,4,14,34,2110,590,2902
Three Mile House,Monaghan,54.21667,-7.0426713,22,0,2,0,130,20,174
Thurles,Tipperary,52.6801064,-7.8044421,184,10,34,184,6750,2124,9286
Tievebane,Donegal,55.0630284,-7.429459,70,2,6,2,490,46,616
Timoleague,Cork,51.6432296,-8.7661887,46,0,0,0,266,176,488
Tinahely,Wicklow,52.7997634,-6.4631844,184,4,10,4,902,142,1246
Tinryland,Carlow,52.7969671,-6.8957413,40,0,8,4,338,30,420
Tinure,Louth,53.79188,-6.419,142,0,0,8,490,122,762
Tipperary,Tipperary,52.4736391,-8.1617622,150,8,20,76,3982,1458,5694
Toomevara,Tipperary,52.8507163,-8.0350506,24,0,0,0,186,56,266
Toornafulla,Limerick,52.36464,-9.15285,28,0,0,0,218,20,266
Tower,Cork,51.92518,-8.60797,322,4,2,0,3950,148,4426
Tralee,Kerry,52.2713096,-9.6999325,1118,48,70,90,19390,6268,26984
Tramore,Waterford,52.1614354,-7.1492952,818,30,28,48,10600,2378,13902
Trim,Meath,53.5523666,-6.7866474,1174,18,30,46,8642,2302,12212
Tuam,Galway,53.5141156,-8.8565177,670,22,34,14,8108,2162,11010
Tubbercurry,Sligo,54.0552258,-8.7298236,160,6,14,8,1916,410,2514
Tulla,Clare,52.8692148,-8.7607816,28,0,6,4,684,180,902
Tullaghan,Leitrim,54.468449,-8.3290498,12,0,4,0,312,12,340
Tullamore,Offaly,53.2752768,-7.4924439,1274,28,52,446,12244,3828,17872
Tullow,Carlow,52.802547,-6.7371517,278,0,20,16,4516,1304,6134
Tullyallen,Louth,53.73661,-6.42244,388,6,4,28,1674,370,2470
Tulsk,Roscommon,53.7799868,-8.2560526,22,0,2,4,184,20,232
Turlough,Mayo,53.8841074,-9.2124764,36,0,2,0,572,8,618
Turloughmore,Galway,53.3821288,-8.853684,30,0,2,0,298,4,334
Two Mile House,Kildare,53.1702248,-6.7003019,76,0,2,22,522,80,702
Twomileborris,Tipperary,52.6725745,-7.711433,34,0,2,8,514,50,608
Tyrrellspass,Westmeath,53.3889615,-7.3773447,42,0,2,2,306,74,426
Unionhall,Cork,51.558803,-9.1434791,54,0,0,0,302,66,422
Urlingford,Kilkenny,52.7205983,-7.5821799,120,2,10,12,876,312,1332
Villierstown,Waterford,52.0882445,-7.850768,50,0,2,0,240,46,338
Virginia,Cavan,53.8344096,-7.0813222,282,6,18,10,2730,878,3924
Walsh Island or Coolagary,Offaly,53.234638,-7.2138556,68,0,4,8,368,92,540
Waterford city and suburbs,Waterford,52.2593197,-7.1100703,3786,284,186,182,48764,14232,67434
Watergrasshill,Cork,52.0113682,-8.3440414,302,0,16,2,2004,456,2780
Waterville,Kerry,51.829465,-10.1745436,102,0,6,0,388,108,604
Westport,Mayo,53.8011505,-9.5223,358,12,10,50,5124,2274,7828
Wexford,Wexford,52.336916,-6.4633381,980,52,66,82,17430,5748,24358
Whitechurch,Cork,51.9840023,-8.5164699,66,4,4,0,1048,12,1134
Whitegate,Clare,52.9505524,-8.3729064,18,0,2,0,172,8,200
Whitegate,Cork,51.8267841,-8.2321121,234,2,4,10,1398,90,1738
Wicklow,Wicklow,52.9808207,-6.044589,1070,38,40,464,11564,2834,16010
Williamstown,Galway,53.6777196,-8.579964,10,0,2,0,176,28,216
Woodford,Galway,53.0521803,-8.4002368,2,0,4,0,244,26,276
Youghal,Cork,51.9542704,-7.8471707,786,12,36,22,7088,1338,9282
