"STATISTIC","Statistic Label","TLIST(A1)","Year","C02639V03196","Days of Week","UNIT","VALUE"
"TOA02C01","Average Red Line Flow","2018","2018","-","All days","Number","419947"
"TOA02C01","Average Red Line Flow","2018","2018","1","Sunday","Number","34860"
"TOA02C01","Average Red Line Flow","2018","2018","2","Monday","Number","60673"
"TOA02C01","Average Red Line Flow","2018","2018","3","Tuesday","Number","65632"
"TOA02C01","Average Red Line Flow","2018","2018","4","Wednesday","Number","67364"
"TOA02C01","Average Red Line Flow","2018","2018","5","Thursday","Number","69442"
"TOA02C01","Average Red Line Flow","2018","2018","6","Friday","Number","72705"
"TOA02C01","Average Red Line Flow","2018","2018","7","Saturday","Number","49270"
"TOA02C01","Average Red Line Flow","2019","2019","-","All days","Number","461062"
"TOA02C01","Average Red Line Flow","2019","2019","1","Sunday","Number","43538"
"TOA02C01","Average Red Line Flow","2019","2019","2","Monday","Number","65429"
"TOA02C01","Average Red Line Flow","2019","2019","3","Tuesday","Number","70434"
"TOA02C01","Average Red Line Flow","2019","2019","4","Wednesday","Number","72341"
"TOA02C01","Average Red Line Flow","2019","2019","5","Thursday","Number","76716"
"TOA02C01","Average Red Line Flow","2019","2019","6","Friday","Number","79414"
"TOA02C01","Average Red Line Flow","2019","2019","7","Saturday","Number","53190"
"TOA02C01","Average Red Line Flow","2020","2020","-","All days","Number","185901"
"TOA02C01","Average Red Line Flow","2020","2020","1","Sunday","Number","14165"
"TOA02C01","Average Red Line Flow","2020","2020","2","Monday","Number","27913"
"TOA02C01","Average Red Line Flow","2020","2020","3","Tuesday","Number","29892"
"TOA02C01","Average Red Line Flow","2020","2020","4","Wednesday","Number","29560"
"TOA02C01","Average Red Line Flow","2020","2020","5","Thursday","Number","30784"
"TOA02C01","Average Red Line Flow","2020","2020","6","Friday","Number","32131"
"TOA02C01","Average Red Line Flow","2020","2020","7","Saturday","Number","21456"
"TOA02C01","Average Red Line Flow","2021","2021","-","All days","Number","192468"
"TOA02C01","Average Red Line Flow","2021","2021","1","Sunday","Number","17513"
"TOA02C01","Average Red Line Flow","2021","2021","2","Monday","Number","27503"
"TOA02C01","Average Red Line Flow","2021","2021","3","Tuesday","Number","29451"
"TOA02C01","Average Red Line Flow","2021","2021","4","Wednesday","Number","29723"
"TOA02C01","Average Red Line Flow","2021","2021","5","Thursday","Number","31250"
"TOA02C01","Average Red Line Flow","2021","2021","6","Friday","Number","31954"
"TOA02C01","Average Red Line Flow","2021","2021","7","Saturday","Number","25075"
"TOA02C01","Average Red Line Flow","2022","2022","-","All days","Number","390116"
"TOA02C01","Average Red Line Flow","2022","2022","1","Sunday","Number","33171"
"TOA02C01","Average Red Line Flow","2022","2022","2","Monday","Number","54243"
"TOA02C01","Average Red Line Flow","2022","2022","3","Tuesday","Number","61183"
"TOA02C01","Average Red Line Flow","2022","2022","4","Wednesday","Number","63149"
"TOA02C01","Average Red Line Flow","2022","2022","5","Thursday","Number","65741"
"TOA02C01","Average Red Line Flow","2022","2022","6","Friday","Number","64779"
"TOA02C01","Average Red Line Flow","2022","2022","7","Saturday","Number","47850"
"TOA02C02","Average Green Line Flow","2018","2018","-","All days","Number","384610"
"TOA02C02","Average Green Line Flow","2018","2018","1","Sunday","Number","28094"
"TOA02C02","Average Green Line Flow","2018","2018","2","Monday","Number","56594"
"TOA02C02","Average Green Line Flow","2018","2018","3","Tuesday","Number","61457"
"TOA02C02","Average Green Line Flow","2018","2018","4","Wednesday","Number","63034"
"TOA02C02","Average Green Line Flow","2018","2018","5","Thursday","Number","65568"
"TOA02C02","Average Green Line Flow","2018","2018","6","Friday","Number","68013"
"TOA02C02","Average Green Line Flow","2018","2018","7","Saturday","Number","41849"
"TOA02C02","Average Green Line Flow","2019","2019","-","All days","Number","465901"
"TOA02C02","Average Green Line Flow","2019","2019","1","Sunday","Number","34841"
"TOA02C02","Average Green Line Flow","2019","2019","2","Monday","Number","68044"
"TOA02C02","Average Green Line Flow","2019","2019","3","Tuesday","Number","74471"
"TOA02C02","Average Green Line Flow","2019","2019","4","Wednesday","Number","77667"
"TOA02C02","Average Green Line Flow","2019","2019","5","Thursday","Number","80878"
"TOA02C02","Average Green Line Flow","2019","2019","6","Friday","Number","82514"
"TOA02C02","Average Green Line Flow","2019","2019","7","Saturday","Number","47486"
"TOA02C02","Average Green Line Flow","2020","2020","-","All days","Number","180573"
"TOA02C02","Average Green Line Flow","2020","2020","1","Sunday","Number","14178"
"TOA02C02","Average Green Line Flow","2020","2020","2","Monday","Number","26689"
"TOA02C02","Average Green Line Flow","2020","2020","3","Tuesday","Number","28570"
"TOA02C02","Average Green Line Flow","2020","2020","4","Wednesday","Number","29129"
"TOA02C02","Average Green Line Flow","2020","2020","5","Thursday","Number","29959"
"TOA02C02","Average Green Line Flow","2020","2020","6","Friday","Number","31067"
"TOA02C02","Average Green Line Flow","2020","2020","7","Saturday","Number","20981"
"TOA02C02","Average Green Line Flow","2021","2021","-","All days","Number","180967"
"TOA02C02","Average Green Line Flow","2021","2021","1","Sunday","Number","16128"
"TOA02C02","Average Green Line Flow","2021","2021","2","Monday","Number","25037"
"TOA02C02","Average Green Line Flow","2021","2021","3","Tuesday","Number","27303"
"TOA02C02","Average Green Line Flow","2021","2021","4","Wednesday","Number","28445"
"TOA02C02","Average Green Line Flow","2021","2021","5","Thursday","Number","29775"
"TOA02C02","Average Green Line Flow","2021","2021","6","Friday","Number","30761"
"TOA02C02","Average Green Line Flow","2021","2021","7","Saturday","Number","23517"
"TOA02C02","Average Green Line Flow","2022","2022","-","All days","Number","352891"
"TOA02C02","Average Green Line Flow","2022","2022","1","Sunday","Number","28924"
"TOA02C02","Average Green Line Flow","2022","2022","2","Monday","Number","47233"
"TOA02C02","Average Green Line Flow","2022","2022","3","Tuesday","Number","56267"
"TOA02C02","Average Green Line Flow","2022","2022","4","Wednesday","Number","58278"
"TOA02C02","Average Green Line Flow","2022","2022","5","Thursday","Number","60553"
"TOA02C02","Average Green Line Flow","2022","2022","6","Friday","Number","58024"
"TOA02C02","Average Green Line Flow","2022","2022","7","Saturday","Number","43592"
"TOA02C03","Average Total Flow","2018","2018","-","All days","Number","804557"
"TOA02C03","Average Total Flow","2018","2018","1","Sunday","Number","62955"
"TOA02C03","Average Total Flow","2018","2018","2","Monday","Number","117267"
"TOA02C03","Average Total Flow","2018","2018","3","Tuesday","Number","127090"
"TOA02C03","Average Total Flow","2018","2018","4","Wednesday","Number","130399"
"TOA02C03","Average Total Flow","2018","2018","5","Thursday","Number","135011"
"TOA02C03","Average Total Flow","2018","2018","6","Friday","Number","140718"
"TOA02C03","Average Total Flow","2018","2018","7","Saturday","Number","91119"
"TOA02C03","Average Total Flow","2019","2019","-","All days","Number","926964"
"TOA02C03","Average Total Flow","2019","2019","1","Sunday","Number","78379"
"TOA02C03","Average Total Flow","2019","2019","2","Monday","Number","133473"
"TOA02C03","Average Total Flow","2019","2019","3","Tuesday","Number","144905"
"TOA02C03","Average Total Flow","2019","2019","4","Wednesday","Number","150008"
"TOA02C03","Average Total Flow","2019","2019","5","Thursday","Number","157594"
"TOA02C03","Average Total Flow","2019","2019","6","Friday","Number","161929"
"TOA02C03","Average Total Flow","2019","2019","7","Saturday","Number","100676"
"TOA02C03","Average Total Flow","2020","2020","-","All days","Number","366474"
"TOA02C03","Average Total Flow","2020","2020","1","Sunday","Number","28343"
"TOA02C03","Average Total Flow","2020","2020","2","Monday","Number","54602"
"TOA02C03","Average Total Flow","2020","2020","3","Tuesday","Number","58461"
"TOA02C03","Average Total Flow","2020","2020","4","Wednesday","Number","58689"
"TOA02C03","Average Total Flow","2020","2020","5","Thursday","Number","60743"
"TOA02C03","Average Total Flow","2020","2020","6","Friday","Number","63198"
"TOA02C03","Average Total Flow","2020","2020","7","Saturday","Number","42437"
"TOA02C03","Average Total Flow","2021","2021","-","All days","Number","373435"
"TOA02C03","Average Total Flow","2021","2021","1","Sunday","Number","33641"
"TOA02C03","Average Total Flow","2021","2021","2","Monday","Number","52540"
"TOA02C03","Average Total Flow","2021","2021","3","Tuesday","Number","56754"
"TOA02C03","Average Total Flow","2021","2021","4","Wednesday","Number","58168"
"TOA02C03","Average Total Flow","2021","2021","5","Thursday","Number","61025"
"TOA02C03","Average Total Flow","2021","2021","6","Friday","Number","62716"
"TOA02C03","Average Total Flow","2021","2021","7","Saturday","Number","48592"
"TOA02C03","Average Total Flow","2022","2022","-","All days","Number","742985"
"TOA02C03","Average Total Flow","2022","2022","1","Sunday","Number","62095"
"TOA02C03","Average Total Flow","2022","2022","2","Monday","Number","101475"
"TOA02C03","Average Total Flow","2022","2022","3","Tuesday","Number","117450"
"TOA02C03","Average Total Flow","2022","2022","4","Wednesday","Number","121427"
"TOA02C03","Average Total Flow","2022","2022","5","Thursday","Number","126294"
"TOA02C03","Average Total Flow","2022","2022","6","Friday","Number","122803"
"TOA02C03","Average Total Flow","2022","2022","7","Saturday","Number","91441"
