Method of Transport,Year,European Union - 27 countries (from 2020),European Union - 28 countries (2013-2020),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Serbia,Türkiye
"Trains, motor coaches, buses and trolley buses",2021,13.7,0,14.4,10.1,15.0,13.3,11.2,10.7,14.3,12.9,12.6,14.0,11.2,17.2,12.7,11.5,5.3,13.7,20.7,14.1,10.6,18.8,13.7,8.7,17.0,10.0,16.3,12.3,15.9,11.0,6.7,20.5,0,1.5,5.7,11.2,26.0
"Trains, motor coaches, buses and trolley buses",2020,12.9,0,15.0,10.6,18.3,12.7,11.2,11.8,13.9,13.2,10.5,13.0,11.1,14.1,12.6,12.3,5.8,13.4,21.2,13.8,9.9,18.5,12.4,7.0,17.4,8.8,19.1,13.0,16.0,10.3,6.9,20.1,0,1.4,6.6,10.5,27.0
"Trains, motor coaches, buses and trolley buses",2019,17.6,16.9,18.6,15.3,25.0,17.3,16.7,20.1,18.2,17.0,15.4,16.7,15.8,18.0,18.5,17.2,9.4,17.4,27.1,18.2,14.4,23.6,20.1,10.7,21.1,13.4,26.2,16.1,20.5,11.4,10.9,26.1,12.6,3.4,21.4,13.6,31.4
"Trains, motor coaches, buses and trolley buses",2018,17.3,16.7,18.3,14.2,25.3,18.0,16.1,19.6,18.3,17.3,15.1,16.2,15.2,18.0,18.9,17.3,9.6,17.1,28.1,17.5,14.4,23.0,19.6,10.5,21.2,13.6,26.1,15.8,19.6,11.3,10.7,25.2,12.9,3.6,23.6,14.9,31.5
"Trains, motor coaches, buses and trolley buses",2017,17.2,16.7,18.0,15.2,25.3,18.5,16.0,19.8,17.4,17.5,14.8,16.4,15.7,17.3,19.0,17.3,8.9,17.1,30.0,17.5,14.3,22.0,20.3,10.4,22.2,13.5,25.6,15.8,19.6,11.4,10.4,25.5,13.3,3.6,22.8,13.4,29.7
"Trains, motor coaches, buses and trolley buses",2016,17.5,17.0,18.1,16.3,24.7,18.6,15.7,20.2,16.6,18.1,18.4,16.2,15.0,18.0,18.6,18.5,10.1,16.9,30.8,17.4,14.0,22.0,20.7,9.6,21.7,13.7,25.2,17.5,19.5,11.4,10.9,25.7,13.3,4.2,23.0,13.8,29.9
"Trains, motor coaches, buses and trolley buses",2015,17.6,17.1,18.5,16.9,25.0,19.1,15.6,17.7,16.7,18.6,18.6,16.2,14.1,18.6,18.7,19.3,10.8,17.1,30.5,17.7,13.8,21.9,21.3,10.0,22.1,13.9,24.2,15.0,16.8,11.4,10.6,25.6,13.9,4.5,26.0,15.1,32.4
"Trains, motor coaches, buses and trolley buses",2014,17.6,17.1,19.0,17.7,27.2,19.5,15.5,16.0,17.7,18.6,17.3,16.1,14.9,19.2,18.2,21.0,11.7,16.4,31.4,16.9,14.5,22.1,21.8,9.0,21.5,13.7,22.4,14.8,16.5,11.4,10.2,25.4,13.8,4.4,27.4,14.3,35.1
"Trains, motor coaches, buses and trolley buses",2013,18.0,17.4,22.2,17.0,25.6,20.1,15.5,16.1,16.8,18.7,19.3,16.3,14.5,20.3,18.5,22.7,8.6,17.2,31.7,17.0,14.0,22.2,22.0,9.3,21.1,13.7,21.9,15.1,16.6,11.4,10.2,25.0,13.8,4.3,29.4,16.2,36.3
"Trains, motor coaches, buses and trolley buses",2012,17.8,17.3,19.4,17.9,25.2,20.0,15.8,16.4,17.2,18.4,19.3,14.9,14.2,21.1,18.7,23.1,8.1,17.0,32.4,17.5,13.8,21.8,23.2,9.5,21.8,13.3,22.2,15.1,16.4,11.4,10.2,25.0,13.7,4.2,22.7,16.3,38.4
Trains,2021,6.0,0,6.2,2.1,6.5,6.2,6.5,2.0,1.4,0.6,5.3,9.1,2.1,4.4,0,2.4,0.9,3.5,6.4,0,8.4,9.8,5.9,2.9,3.3,1.8,6.2,4.0,7.5,0,2.5,14.6,0,0.8,0.2,0.6,2.7
Trains,2020,5.5,0,6.9,2.0,7.8,5.9,6.3,1.9,1.4,0.6,4.1,7.8,2.0,3.9,0,2.5,0.8,3.3,6.0,0,7.8,9.2,4.9,2.8,3.1,1.3,6.9,3.8,7.6,0,2.7,14.3,0,0.7,0.2,0.5,2.1
Trains,2019,8.0,8.1,8.2,2.2,10.0,8.2,9.3,2.2,3.3,1.0,7.1,10.3,2.4,6.3,0,3.4,1.0,4.8,8.4,0,11.2,13.9,7.6,4.6,4.2,1.8,10.2,6.2,12.2,0,4.9,20.0,8.5,1.2,0.6,0.8,3.2
Trains,2018,7.8,7.9,8.0,2.2,9.8,8.4,8.9,2.5,3.3,0.9,7.1,9.8,2.5,6.3,0,3.4,1.1,4.7,8.7,0,11.2,13.5,7.4,4.3,4.2,1.8,9.9,5.7,11.3,0,5.0,19.3,8.4,1.3,0.6,1.0,1.7
Trains,2017,7.7,7.8,7.8,2.1,9.5,8.6,8.7,2.2,3.1,0.9,7.0,10.1,2.4,5.9,0,3.3,0.9,4.7,8.9,0,11.4,12.0,7.3,4.4,4.5,1.8,9.9,5.4,11.2,0,4.8,19.6,8.4,1.3,0.6,1.1,1.5
Trains,2016,7.6,7.7,7.6,2.2,9.1,8.8,8.4,2.0,3.0,1.0,6.6,9.8,2.7,6.1,0,3.4,1.0,4.6,9.2,0,11.0,12.1,7.1,4.3,4.1,2.0,9.4,5.6,11.0,0,5.1,19.8,8.8,1.8,0.9,1.3,1.4
Trains,2015,7.6,7.7,7.6,2.3,8.7,9.3,8.2,1.9,3.1,1.0,6.7,9.9,3.1,6.3,0,3.5,0.9,4.7,9.7,0,10.8,12.1,6.7,4.2,4.5,2.1,9.4,5.3,9.5,0,4.9,19.7,8.7,1.9,1.9,1.5,1.6
Trains,2014,7.6,7.7,7.4,2.6,8.4,9.7,8.3,2.0,3.0,0.9,6.7,9.8,3.0,6.3,0,4.0,1.0,4.3,10.0,0,11.8,12.2,6.3,4.2,4.6,2.1,7.4,5.0,9.2,0,4.9,19.6,8.5,1.8,0.9,1.4,1.6
Trains,2013,7.6,7.7,7.0,2.9,8.6,10.3,8.3,1.7,2.7,0.9,6.1,10.1,3.1,6.3,0,4.7,0.8,4.8,10.3,0,11.3,12.3,6.7,4.0,4.3,2.3,7.2,5.3,9.1,0,4.8,19.3,8.3,1.7,0.9,1.9,1.4
Trains,2012,7.6,7.6,6.9,3.1,8.4,10.2,8.8,1.8,2.8,0.7,5.6,9.5,3.5,6.4,0,4.8,0.7,4.6,10.1,0,10.6,11.8,7.2,4.2,4.6,2.3,7.1,5.3,9.1,0,4.6,19.2,8.1,1.5,1.5,1.7,1.7
Passenger cars,2021,86.3,0,85.6,89.9,85.0,86.7,88.8,89.3,85.7,87.1,87.4,86.0,88.8,82.8,87.3,88.5,94.7,86.3,79.3,85.9,89.4,81.2,86.3,91.3,83.0,90.0,83.7,87.7,84.1,89.0,93.3,79.5,0,98.5,94.3,88.8,74.0
Passenger cars,2020,87.1,0,85.0,89.4,81.7,87.3,88.8,88.2,86.1,86.8,89.5,87.0,88.9,85.9,87.4,87.7,94.2,86.6,78.8,86.2,90.1,81.5,87.6,93.0,82.6,91.2,80.9,87.0,84.0,89.7,93.1,79.9,0,98.6,93.4,89.5,73.0
Passenger cars,2019,82.4,83.1,81.4,84.7,75.0,82.7,83.3,79.9,81.8,83.0,84.6,83.3,84.2,82.0,81.5,82.8,90.6,82.6,72.9,81.8,85.6,76.4,79.9,89.3,78.9,86.6,73.8,83.9,79.5,88.6,89.1,73.9,87.4,96.6,78.6,86.4,68.6
Passenger cars,2018,82.7,83.3,81.7,85.8,74.7,82.0,83.9,80.4,81.7,82.7,84.9,83.8,84.8,82.0,81.1,82.7,90.4,82.9,71.9,82.5,85.6,77.0,80.4,89.5,78.8,86.4,73.9,84.2,80.4,88.7,89.3,74.8,87.1,96.4,76.4,85.1,68.5
Passenger cars,2017,82.8,83.3,82.0,84.8,74.7,81.5,84.0,80.2,82.6,82.5,85.2,83.6,84.3,82.7,81.0,82.7,91.1,82.9,70.0,82.5,85.7,78.0,79.7,89.6,77.8,86.5,74.4,84.2,80.4,88.6,89.6,74.5,86.7,96.4,77.2,86.6,70.3
Passenger cars,2016,82.5,83.0,81.9,83.7,75.3,81.4,84.3,79.8,83.4,81.9,81.6,83.8,85.0,82.0,81.4,81.5,89.9,83.1,69.2,82.6,86.0,78.0,79.3,90.4,78.3,86.3,74.8,82.5,80.5,88.6,89.1,74.3,86.7,95.8,77.0,86.2,70.1
Passenger cars,2015,82.4,82.9,81.5,83.1,75.0,80.9,84.4,82.3,83.3,81.4,81.4,83.8,85.9,81.4,81.3,80.7,89.2,82.9,69.5,82.3,86.2,78.1,78.7,90.0,77.9,86.1,75.8,85.0,83.2,88.6,89.4,74.4,86.1,95.5,74.0,84.9,67.6
Passenger cars,2014,82.4,82.9,81.0,82.3,72.8,80.5,84.5,84.0,82.3,81.4,82.7,83.9,85.1,80.8,81.8,79.0,88.3,83.6,68.6,83.1,85.5,77.9,78.2,91.0,78.5,86.3,77.6,85.2,83.5,88.6,89.8,74.6,86.2,95.6,72.6,85.7,64.9
Passenger cars,2013,82.0,82.6,77.8,83.0,74.4,79.9,84.5,83.9,83.2,81.3,80.7,83.7,85.5,79.7,81.5,77.3,91.4,82.8,68.3,83.0,86.0,77.8,78.0,90.7,78.9,86.3,78.1,84.9,83.4,88.6,89.8,75.0,86.2,95.7,70.6,83.8,63.7
Passenger cars,2012,82.2,82.7,80.6,82.1,74.8,80.0,84.2,83.6,82.8,81.6,80.7,85.1,85.8,78.9,81.3,76.9,91.9,83.0,67.6,82.5,86.2,78.2,76.8,90.5,78.2,86.7,77.8,84.9,83.6,88.6,89.8,75.0,86.3,95.8,77.3,83.7,61.6
"Motor coaches, buses and trolley buses",2021,7.7,0,8.2,8.0,8.5,7.1,4.8,8.8,13.0,12.3,7.3,4.9,9.2,12.8,12.7,9.1,4.5,10.2,14.3,14.1,2.3,9.0,7.8,5.7,13.7,8.2,10.1,8.3,8.3,11.0,4.1,5.9,0,0.7,5.5,10.6,23.4
"Motor coaches, buses and trolley buses",2020,7.4,0,8.2,8.6,10.5,6.8,4.8,9.9,12.5,12.6,6.4,5.2,9.1,10.2,12.6,9.9,5.1,10.1,15.3,13.8,2.1,9.3,7.5,4.2,14.3,7.5,12.2,9.2,8.4,10.3,4.2,5.8,0,0.7,6.4,10.0,25.0
"Motor coaches, buses and trolley buses",2019,9.6,8.8,10.4,13.0,14.9,9.2,7.4,17.9,14.9,16.0,8.2,6.4,13.4,11.7,18.5,13.7,8.4,12.6,18.6,18.2,3.2,9.7,12.5,6.1,16.9,11.7,16.0,9.9,8.4,11.4,6.0,6.1,4.0,2.1,20.8,12.9,28.3
"Motor coaches, buses and trolley buses",2018,9.5,8.8,10.3,12.0,15.5,9.6,7.2,17.1,15.0,16.4,8.0,6.5,12.7,11.7,18.9,13.9,8.5,12.4,19.3,17.5,3.2,9.5,12.2,6.3,17.0,11.8,16.2,10.1,8.3,11.3,5.7,5.9,4.4,2.3,23.0,13.9,29.8
"Motor coaches, buses and trolley buses",2017,9.5,8.9,10.2,13.1,15.8,10.0,7.3,17.6,14.3,16.6,7.8,6.4,13.4,11.4,19.0,14.0,8.0,12.4,21.1,17.5,2.9,10.0,13.0,6.0,17.7,11.7,15.7,10.4,8.4,11.4,5.6,5.9,4.8,2.4,22.2,12.3,28.2
"Motor coaches, buses and trolley buses",2016,10.0,9.2,10.5,14.1,15.6,9.8,7.3,18.3,13.6,17.1,11.8,6.4,12.3,11.9,18.6,15.1,9.1,12.3,21.5,17.4,3.0,9.9,13.7,5.3,17.6,11.8,15.8,11.9,8.5,11.4,5.8,5.9,4.5,2.4,22.1,12.5,28.5
"Motor coaches, buses and trolley buses",2015,10.0,9.4,11.0,14.6,16.3,9.8,7.4,15.8,13.7,17.5,11.9,6.3,11.0,12.3,18.7,15.8,9.9,12.4,20.9,17.7,3.0,9.9,14.6,5.8,17.6,11.8,14.8,9.7,7.3,11.4,5.7,5.9,5.2,2.6,24.1,13.6,30.7
"Motor coaches, buses and trolley buses",2014,10.0,9.4,11.5,15.1,18.8,9.8,7.2,14.0,14.7,17.7,10.6,6.3,11.9,12.9,18.2,17.0,10.8,12.2,21.3,16.9,2.7,9.9,15.5,4.8,16.9,11.6,15.1,9.8,7.3,11.4,5.4,5.8,5.2,2.6,26.5,13.0,33.5
"Motor coaches, buses and trolley buses",2013,10.4,9.8,15.2,14.0,17.0,9.8,7.2,14.4,14.1,17.8,13.2,6.2,11.5,14.1,18.5,18.0,7.8,12.4,21.4,17.0,2.7,9.9,15.2,5.3,16.8,11.4,14.7,9.8,7.5,11.4,5.5,5.7,5.4,2.6,28.4,14.3,34.9
"Motor coaches, buses and trolley buses",2012,10.3,9.7,12.5,14.8,16.8,9.8,7.1,14.6,14.4,17.7,13.7,5.4,10.7,14.7,18.7,18.3,7.3,12.4,22.3,17.5,3.2,10.0,16.0,5.3,17.2,11.1,15.1,9.8,7.3,11.4,5.6,5.7,5.6,2.7,21.2,14.6,36.6
