Mode of Transport,Type of Route,Year,Quarter,"Ticket Revenues (NOK 1,000)","Passengers (1,000 Passengers)","Passengers with School Transport (1,000 Passengers)","Ordinary Travellers (1,000 Passengers)",
Railway,Commercial routs,2015,Q2,.,.,0,0,
Railway,Commercial routs,2015,Q3,.,.,0,0,
Railway,Commercial routs,2015,Q4,.,.,0,0,
Railway,Commercial routs,2016,Q1,.,.,.,.,
Railway,Commercial routs,2016,Q2,.,.,.,.,
Railway,Commercial routs,2016,Q3,.,.,.,.,
Railway,Commercial routs,2016,Q4,.,.,.,.,
Railway,Commercial routs,2017,Q1,.,.,.,.,
Railway,Commercial routs,2017,Q2,.,.,.,.,
Railway,Commercial routs,2017,Q3,.,.,.,.,
Railway,Commercial routs,2017,Q4,.,.,.,.,
Railway,Commercial routs,2018,Q1,.,.,.,.,
Railway,Commercial routs,2018,Q2,.,.,.,.,
Railway,Commercial routs,2018,Q3,.,.,.,.,
Railway,Commercial routs,2018,Q4,.,.,.,.,
Railway,Commercial routs,2019,Q1,.,.,.,.,
Railway,Commercial routs,2019,Q2,.,.,.,.,
Railway,Commercial routs,2019,Q3,.,.,.,.,
Railway,Commercial routs,2019,Q4,.,.,.,.,
Railway,Commercial routs,2020,Q1,.,.,.,.,
Railway,Commercial routs,2020,Q2,.,.,.,.,
Railway,Commercial routs,2020,Q3,.,.,.,.,
Railway,Commercial routs,2020,Q4,.,.,.,.,
Railway,Commercial routs,2021,Q1,.,.,.,.,
Railway,Commercial routs,2021,Q2,.,.,.,.,
Railway,Commercial routs,2021,Q3,.,.,.,.,
Railway,Commercial routs,2021,Q4,.,.,.,.,
Railway,Commercial routs,2022,Q1,.,.,.,.,
Railway,Commercial routs,2022,Q2,.,.,.,.,
Railway,Commercial routs,2022,Q3,.,.,.,.,
Railway,Commercial routs,2022,Q4,.,.,.,.,
Railway,Commercial routs,2023,Q1,.,.,.,.,
Railway,Commercial routs,2023,Q2,.,.,.,.,
Railway,Public-funded routes,2005,Q1,0,0,0,0,
Railway,Public-funded routes,2005,Q2,0,0,0,0,
Railway,Public-funded routes,2005,Q3,0,0,0,0,
Railway,Public-funded routes,2005,Q4,0,0,0,0,
Railway,Public-funded routes,2006,Q1,0,0,0,0,
Railway,Public-funded routes,2006,Q2,0,0,0,0,
Railway,Public-funded routes,2006,Q3,0,0,0,0,
Railway,Public-funded routes,2006,Q4,0,0,0,0,
Railway,Public-funded routes,2007,Q1,0,0,0,0,
Railway,Public-funded routes,2007,Q2,0,0,0,0,
Railway,Public-funded routes,2007,Q3,0,0,0,0,
Railway,Public-funded routes,2007,Q4,0,0,0,0,
Railway,Public-funded routes,2008,Q1,0,0,0,0,
Railway,Public-funded routes,2008,Q2,0,0,0,0,
Railway,Public-funded routes,2008,Q3,0,0,0,0,
Railway,Public-funded routes,2008,Q4,0,0,0,0,
Railway,Public-funded routes,2009,Q1,0,0,0,0,
Railway,Public-funded routes,2009,Q2,0,0,0,0,
Railway,Public-funded routes,2009,Q3,0,0,0,0,
Railway,Public-funded routes,2009,Q4,0,0,0,0,
Railway,Public-funded routes,2010,Q1,0,0,0,0,
Railway,Public-funded routes,2010,Q2,0,0,0,0,
Railway,Public-funded routes,2010,Q3,0,0,0,0,
Railway,Public-funded routes,2010,Q4,0,0,0,0,
Railway,Public-funded routes,2011,Q1,0,0,0,0,
Railway,Public-funded routes,2011,Q2,0,0,0,0,
Railway,Public-funded routes,2011,Q3,0,0,0,0,
Railway,Public-funded routes,2011,Q4,0,0,0,0,
Railway,Public-funded routes,2012,Q1,0,0,0,0,
Railway,Public-funded routes,2012,Q2,0,0,0,0,
Railway,Public-funded routes,2012,Q3,0,0,0,0,
Railway,Public-funded routes,2012,Q4,0,0,0,0,
Railway,Public-funded routes,2013,Q1,0,0,0,0,
Railway,Public-funded routes,2013,Q2,0,0,0,0,
Railway,Public-funded routes,2013,Q3,0,0,0,0,
Railway,Public-funded routes,2013,Q4,0,0,0,0,
Railway,Public-funded routes,2014,Q1,0,0,0,0,
Railway,Public-funded routes,2014,Q2,0,0,0,0,
Railway,Public-funded routes,2014,Q3,0,0,0,0,
Railway,Public-funded routes,2014,Q4,0,0,0,0,
Railway,Public-funded routes,2015,Q1,0,0,0,0,
Railway,Public-funded routes,2015,Q2,0,0,0,0,
Railway,Public-funded routes,2015,Q3,0,0,0,0,
Railway,Public-funded routes,2015,Q4,0,0,0,0,
Railway,Public-funded routes,2016,Q1,.,.,.,.,
Railway,Public-funded routes,2016,Q2,.,.,.,.,
Railway,Public-funded routes,2016,Q3,.,.,.,.,
Railway,Public-funded routes,2016,Q4,.,.,.,.,
Railway,Public-funded routes,2017,Q1,.,.,.,.,
Railway,Public-funded routes,2017,Q2,.,.,.,.,
Railway,Public-funded routes,2017,Q3,.,.,.,.,
Railway,Public-funded routes,2017,Q4,.,.,.,.,
Railway,Public-funded routes,2018,Q1,.,.,.,.,
Railway,Public-funded routes,2018,Q2,.,.,.,.,
Railway,Public-funded routes,2018,Q3,.,.,.,.,
Railway,Public-funded routes,2018,Q4,.,.,.,.,
Railway,Public-funded routes,2019,Q1,.,.,.,.,
Railway,Public-funded routes,2019,Q2,.,.,.,.,
Railway,Public-funded routes,2019,Q3,.,.,.,.,
Railway,Public-funded routes,2019,Q4,.,.,.,.,
Railway,Public-funded routes,2020,Q1,.,.,.,.,
Railway,Public-funded routes,2020,Q2,.,.,.,.,
Railway,Public-funded routes,2020,Q3,.,.,.,.,
Railway,Public-funded routes,2020,Q4,.,.,.,.,
Railway,Public-funded routes,2021,Q1,.,.,.,.,
Railway,Public-funded routes,2021,Q2,.,.,.,.,
Railway,Public-funded routes,2021,Q3,.,.,.,.,
Railway,Public-funded routes,2021,Q4,.,.,.,.,
Railway,Public-funded routes,2022,Q1,.,.,.,.,
Railway,Public-funded routes,2022,Q2,.,.,.,.,
Railway,Public-funded routes,2022,Q3,.,.,.,.,
Railway,Public-funded routes,2022,Q4,.,.,.,.,
Railway,Public-funded routes,2023,Q1,.,.,.,.,
Railway,Public-funded routes,2023,Q2,.,.,.,.,
Tram and suburban railway,Total,2005,Q1,160645,25066,0,0,
Tram and suburban railway,Total,2005,Q2,172531,22964,0,0,
Tram and suburban railway,Total,2005,Q3,167627,23212,0,0,
Tram and suburban railway,Total,2005,Q4,184954,25255,0,0,
Tram and suburban railway,Total,2006,Q1,189541,26817,0,0,
Tram and suburban railway,Total,2006,Q2,172545,22802,0,0,
Tram and suburban railway,Total,2006,Q3,174456,22297,0,0,
Tram and suburban railway,Total,2006,Q4,193154,24660,0,0,
Tram and suburban railway,Total,2007,Q1,230244,31924,0,0,
Tram and suburban railway,Total,2007,Q2,215990,19502,0,0,
Tram and suburban railway,Total,2007,Q3,205354,24049,0,0,
Tram and suburban railway,Total,2007,Q4,242234,28785,0,0,
Tram and suburban railway,Total,2008,Q1,255014,21835,0,0,
Tram and suburban railway,Total,2008,Q2,265944,21856,0,0,
Tram and suburban railway,Total,2008,Q3,238560,29826,0,0,
Tram and suburban railway,Total,2008,Q4,253117,32014,0,0,
Tram and suburban railway,Total,2009,Q1,253657,32078,0,0,
Tram and suburban railway,Total,2009,Q2,252547,28296,0,0,
Tram and suburban railway,Total,2009,Q3,241231,27998,0,0,
Tram and suburban railway,Total,2009,Q4,257786,29446,0,0,
Tram and suburban railway,Total,2010,Q1,257125,32941,0,0,
Tram and suburban railway,Total,2010,Q2,255457,29256,0,0,
Tram and suburban railway,Total,2010,Q3,251392,29990,0,0,
Tram and suburban railway,Total,2010,Q4,323101,35319,0,0,
Tram and suburban railway,Total,2011,Q1,292658,36708,0,0,
Tram and suburban railway,Total,2011,Q2,290827,32292,0,0,
Tram and suburban railway,Total,2011,Q3,273587,32219,0,0,
Tram and suburban railway,Total,2011,Q4,294376,35256,0,0,
Tram and suburban railway,Total,2012,Q1,301532,38106,0,0,
Tram and suburban railway,Total,2012,Q2,296590,34589,0,0,
Tram and suburban railway,Total,2012,Q3,282115,33998,0,0,
Tram and suburban railway,Total,2012,Q4,315983,35982,0,0,
Tram and suburban railway,Total,2013,Q1,317198,36522,0,0,
Tram and suburban railway,Total,2013,Q2,372687,36059,0,0,
Tram and suburban railway,Total,2013,Q3,316139,35156,0,0,
Tram and suburban railway,Total,2013,Q4,348015,38967,0,0,
Tram and suburban railway,Total,2014,Q1,350660,40484,0,0,
Tram and suburban railway,Total,2014,Q2,344384,36451,0,0,
Tram and suburban railway,Total,2014,Q3,382054,36560,0,0,
Tram and suburban railway,Total,2014,Q4,368939,38411,0,0,
Tram and suburban railway,Total,2015,Q1,369439,41266,0,0,
Tram and suburban railway,Total,2015,Q2,378386,38861,0,0,
Tram and suburban railway,Total,2015,Q3,419671,39259,0,0,
Tram and suburban railway,Total,2015,Q4,410699,41726,0,0,
Tram and suburban railway,Total,2016,Q1,410682,44093,11,44083,
Tram and suburban railway,Total,2016,Q2,430195,40547,8,40540,
Tram and suburban railway,Total,2016,Q3,403366,41307,17,41290,
Tram and suburban railway,Total,2016,Q4,443269,43282,36,43246,
Tram and suburban railway,Total,2017,Q1,453861,46467,43,46424,
Tram and suburban railway,Total,2017,Q2,440794,44234,36,44199,
Tram and suburban railway,Total,2017,Q3,428129,42251,18,42234,
Tram and suburban railway,Total,2017,Q4,454253,50089,36,50053,
Tram and suburban railway,Total,2018,Q1,472477,48252,37,48215,
Tram and suburban railway,Total,2018,Q2,495232,47728,32,47696,
Tram and suburban railway,Total,2018,Q3,439000,42387,11,42376,
Tram and suburban railway,Total,2018,Q4,510189,50555,31,50524,
Tram and suburban railway,Total,2019,Q1,458246,50904,32,50872,
Tram and suburban railway,Total,2019,Q2,443723,45116,23,45093,
Tram and suburban railway,Total,2019,Q3,421279,42323,16,42308,
Tram and suburban railway,Total,2019,Q4,522067,50136,33,50102,
Tram and suburban railway,Total,2020,Q1,395244,36986,24,36962,
Tram and suburban railway,Total,2020,Q2,182848,20261,6,20255,
Tram and suburban railway,Total,2020,Q3,259112,27133,9,27125,
Tram and suburban railway,Total,2020,Q4,228617,25401,21,25379,
Tram and suburban railway,Total,2021,Q1,182725,21677,21,21656,
Tram and suburban railway,Total,2021,Q2,216279,24163,16,24147,
Tram and suburban railway,Total,2021,Q3,295129,31072,17,31054,
Tram and suburban railway,Total,2021,Q4,386192,38044,30,38014,
Tram and suburban railway,Total,2022,Q1,362041,36067,42,36025,
Tram and suburban railway,Total,2022,Q2,454793,40642,39,40603,
Tram and suburban railway,Total,2022,Q3,452418,39584,35,39548,
Tram and suburban railway,Total,2022,Q4,466169,45952,48,45905,
Tram and suburban railway,Total,2023,Q1,453897,48231,65,48166,
Tram and suburban railway,Total,2023,Q2,447914,44102,60,44042,
Tram and suburban railway,Commercial routs,2005,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2005,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2005,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2005,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2006,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2006,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2006,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2006,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2007,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2007,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2007,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2007,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2008,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2008,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2008,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2008,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2009,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2009,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2009,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2009,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2010,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2010,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2010,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2010,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2011,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2011,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2011,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2011,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2012,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2012,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2012,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2012,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2013,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2013,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2013,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2013,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2014,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2014,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2014,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2014,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2015,Q1,-,-,0,0,
Tram and suburban railway,Commercial routs,2015,Q2,-,-,0,0,
Tram and suburban railway,Commercial routs,2015,Q3,-,-,0,0,
Tram and suburban railway,Commercial routs,2015,Q4,-,-,0,0,
Tram and suburban railway,Commercial routs,2016,Q1,-,-,-,-,
Tram and suburban railway,Commercial routs,2016,Q2,-,-,-,-,
Tram and suburban railway,Commercial routs,2016,Q3,-,-,-,-,
Tram and suburban railway,Commercial routs,2016,Q4,-,-,-,-,
Tram and suburban railway,Commercial routs,2017,Q1,-,-,-,-,
Tram and suburban railway,Commercial routs,2017,Q2,-,-,-,-,
Tram and suburban railway,Commercial routs,2017,Q3,-,-,-,-,
Tram and suburban railway,Commercial routs,2017,Q4,-,-,-,-,
Tram and suburban railway,Commercial routs,2018,Q1,-,-,-,-,
Tram and suburban railway,Commercial routs,2018,Q2,-,-,-,-,
Tram and suburban railway,Commercial routs,2018,Q3,-,-,-,-,
Tram and suburban railway,Commercial routs,2018,Q4,-,-,-,-,
Tram and suburban railway,Commercial routs,2019,Q1,-,-,-,-,
Tram and suburban railway,Commercial routs,2019,Q2,-,-,-,-,
Tram and suburban railway,Commercial routs,2019,Q3,-,-,-,-,
Tram and suburban railway,Commercial routs,2019,Q4,-,-,-,-,
Tram and suburban railway,Commercial routs,2020,Q1,-,-,-,-,
Tram and suburban railway,Commercial routs,2020,Q2,-,-,-,-,
Tram and suburban railway,Commercial routs,2020,Q3,-,-,-,-,
Tram and suburban railway,Commercial routs,2020,Q4,-,-,-,-,
Tram and suburban railway,Commercial routs,2021,Q1,-,-,-,-,
Tram and suburban railway,Commercial routs,2021,Q2,-,-,-,-,
Tram and suburban railway,Commercial routs,2021,Q3,-,-,-,-,
Tram and suburban railway,Commercial routs,2021,Q4,-,-,-,-,
Tram and suburban railway,Commercial routs,2022,Q1,-,-,-,-,
Tram and suburban railway,Commercial routs,2022,Q2,-,-,-,-,
Tram and suburban railway,Commercial routs,2022,Q3,-,-,-,-,
Tram and suburban railway,Commercial routs,2022,Q4,-,-,-,-,
Tram and suburban railway,Commercial routs,2023,Q1,-,-,-,-,
Tram and suburban railway,Commercial routs,2023,Q2,-,-,-,-,
Tram and suburban railway,Public-funded routes,2005,Q1,160645,25066,0,0,
Tram and suburban railway,Public-funded routes,2005,Q2,172531,22964,0,0,
Tram and suburban railway,Public-funded routes,2005,Q3,167627,23212,0,0,
Tram and suburban railway,Public-funded routes,2005,Q4,184954,25255,0,0,
Tram and suburban railway,Public-funded routes,2006,Q1,189541,26817,0,0,
Tram and suburban railway,Public-funded routes,2006,Q2,172545,22802,0,0,
Tram and suburban railway,Public-funded routes,2006,Q3,174456,22297,0,0,
Tram and suburban railway,Public-funded routes,2006,Q4,193154,24660,0,0,
Tram and suburban railway,Public-funded routes,2007,Q1,230244,31924,0,0,
Tram and suburban railway,Public-funded routes,2007,Q2,215990,19502,0,0,
Tram and suburban railway,Public-funded routes,2007,Q3,205354,24049,0,0,
Tram and suburban railway,Public-funded routes,2007,Q4,242234,28785,0,0,
Tram and suburban railway,Public-funded routes,2008,Q1,255014,21835,0,0,
Tram and suburban railway,Public-funded routes,2008,Q2,265944,21856,0,0,
Tram and suburban railway,Public-funded routes,2008,Q3,238560,29826,0,0,
Tram and suburban railway,Public-funded routes,2008,Q4,253117,32014,0,0,
Tram and suburban railway,Public-funded routes,2009,Q1,253657,32078,0,0,
Tram and suburban railway,Public-funded routes,2009,Q2,252547,28296,0,0,
Tram and suburban railway,Public-funded routes,2009,Q3,241231,27998,0,0,
Tram and suburban railway,Public-funded routes,2009,Q4,257786,29446,0,0,
Tram and suburban railway,Public-funded routes,2010,Q1,257125,32941,0,0,
Tram and suburban railway,Public-funded routes,2010,Q2,255457,29256,0,0,
Tram and suburban railway,Public-funded routes,2010,Q3,251392,29990,0,0,
Tram and suburban railway,Public-funded routes,2010,Q4,323101,35319,0,0,
Tram and suburban railway,Public-funded routes,2011,Q1,292658,36708,0,0,
Tram and suburban railway,Public-funded routes,2011,Q2,290827,32292,0,0,
Tram and suburban railway,Public-funded routes,2011,Q3,273587,32219,0,0,
Tram and suburban railway,Public-funded routes,2011,Q4,294376,35256,0,0,
Tram and suburban railway,Public-funded routes,2012,Q1,301532,38106,0,0,
Tram and suburban railway,Public-funded routes,2012,Q2,296590,34589,0,0,
Tram and suburban railway,Public-funded routes,2012,Q3,282115,33998,0,0,
Tram and suburban railway,Public-funded routes,2012,Q4,315983,35982,0,0,
Tram and suburban railway,Public-funded routes,2013,Q1,317198,36522,0,0,
Tram and suburban railway,Public-funded routes,2013,Q2,372687,36059,0,0,
Tram and suburban railway,Public-funded routes,2013,Q3,316139,35156,0,0,
Tram and suburban railway,Public-funded routes,2013,Q4,348015,38967,0,0,
Tram and suburban railway,Public-funded routes,2014,Q1,350660,40484,0,0,
Tram and suburban railway,Public-funded routes,2014,Q2,344384,36451,0,0,
Tram and suburban railway,Public-funded routes,2014,Q3,382054,36560,0,0,
Tram and suburban railway,Public-funded routes,2014,Q4,368939,38411,0,0,
Tram and suburban railway,Public-funded routes,2015,Q1,369439,41266,0,0,
Tram and suburban railway,Public-funded routes,2015,Q2,378386,38861,0,0,
Tram and suburban railway,Public-funded routes,2015,Q3,419671,39259,0,0,
Tram and suburban railway,Public-funded routes,2015,Q4,410699,41726,0,0,
Tram and suburban railway,Public-funded routes,2016,Q1,410682,44093,11,44083,
Tram and suburban railway,Public-funded routes,2016,Q2,430195,40547,8,40540,
Tram and suburban railway,Public-funded routes,2016,Q3,403366,41307,17,41290,
Tram and suburban railway,Public-funded routes,2016,Q4,443269,43282,36,43246,
Tram and suburban railway,Public-funded routes,2017,Q1,453861,46467,43,46424,
Tram and suburban railway,Public-funded routes,2017,Q2,440794,44234,36,44199,
Tram and suburban railway,Public-funded routes,2017,Q3,428129,42251,18,42234,
Tram and suburban railway,Public-funded routes,2017,Q4,454253,50089,36,50053,
Tram and suburban railway,Public-funded routes,2018,Q1,472477,48252,37,48215,
Tram and suburban railway,Public-funded routes,2018,Q2,495232,47728,32,47696,
Tram and suburban railway,Public-funded routes,2018,Q3,439000,42387,11,42376,
Tram and suburban railway,Public-funded routes,2018,Q4,510189,50555,31,50524,
Tram and suburban railway,Public-funded routes,2019,Q1,458246,50904,32,50872,
Tram and suburban railway,Public-funded routes,2019,Q2,443723,45116,23,45093,
Tram and suburban railway,Public-funded routes,2019,Q3,421279,42323,16,42308,
Tram and suburban railway,Public-funded routes,2019,Q4,522067,50136,33,50102,
Tram and suburban railway,Public-funded routes,2020,Q1,395244,36986,24,36962,
Tram and suburban railway,Public-funded routes,2020,Q2,182848,20261,6,20255,
Tram and suburban railway,Public-funded routes,2020,Q3,259112,27133,9,27125,
Tram and suburban railway,Public-funded routes,2020,Q4,228617,25401,21,25379,
Tram and suburban railway,Public-funded routes,2021,Q1,182725,21677,21,21656,
Tram and suburban railway,Public-funded routes,2021,Q2,216279,24163,16,24147,
Tram and suburban railway,Public-funded routes,2021,Q3,295129,31072,17,31054,
Tram and suburban railway,Public-funded routes,2021,Q4,386192,38044,30,38014,
Tram and suburban railway,Public-funded routes,2022,Q1,362041,36067,42,36025,
Tram and suburban railway,Public-funded routes,2022,Q2,454793,40642,39,40603,
Tram and suburban railway,Public-funded routes,2022,Q3,452418,39584,35,39548,
Tram and suburban railway,Public-funded routes,2022,Q4,466169,45952,48,45905,
Tram and suburban railway,Public-funded routes,2023,Q1,453897,48231,65,48166,
Tram and suburban railway,Public-funded routes,2023,Q2,447914,44102,60,44042,
