Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Glenties,Donegal,54.7971669,-8.2830316,30,0,6,0,802,196,1034,0,Town (Small)
Glenville,Cork,52.04565789999999,-8.4254293,130,2,4,0,568,102,806,0,Town (Small)
Glin,Limerick,52.5688921,-9.2819067,56,0,0,0,508,122,686,0,Town (Small)
Gneevgullia,Kerry,52.1166851,-9.2719471,50,0,6,2,320,32,410,0,Town (Small)
Gob an Choire,Mayo,53.9302564,-9.9266332,8,0,0,0,168,52,228,0,Town (Small)
Golden,Tipperary,52.4984411,-7.980749500000001,36,0,6,8,334,42,426,0,Town (Small)
Goresbridge,Kilkenny,52.6297084,-6.9940878,22,0,0,6,248,44,320,0,Town (Small)
Gorey,Wexford,52.67573549999999,-6.2943022,796,26,28,104,9662,3736,14352,0,Town (Small)
Gormanston,Meath,53.6419159,-6.2480288,28,0,0,20,284,24,356,0,Town (Small)
Gort,Galway,53.0666432,-8.8187486,174,2,4,30,2222,678,3110,0,Town (Small)
Gort An Choirce,Donegal,55.116926,-8.140072500000002,28,0,4,0,280,46,358,0,Town (Small)
Gortnahoo,Tipperary,52.6759449,-7.602561799999999,46,0,6,0,242,64,358,0,Town (Small)
Gowran,Kilkenny,52.6290523,-7.0665112,116,0,6,4,784,130,1040,0,Town (Small)
Graiguenamanagh-Tinnahinch,Kilkenny,52.54413479999999,-6.9594397,82,6,2,14,976,282,1362,0,Town (Small)
Granard,Longford,53.7791755,-7.4923774,28,0,4,2,614,388,1036,0,Town (Small)
Grange,Sligo,54.3932789,-8.5220973,40,0,0,2,532,198,772,0,Town (Small)
Greencastle,Donegal,55.203361,-6.9875478,158,4,10,4,1194,84,1454,0,Town (Small)
Grenagh,Cork,52.0104774,-8.610667,106,0,2,0,934,28,1070,0,Town (Small)
Greystones-Delgany,Wicklow,53.1491175,-6.0793414,1972,104,78,2674,17024,4688,26540,3,Town (Medium)
Gurteen,Sligo,53.99590019999999,-8.5226889,50,0,2,2,412,78,544,0,Town (Small)
Hacketstown,Carlow,52.8653857,-6.5586053,12,0,6,0,486,224,728,0,Town (Small)
Halfway,Cork,51.80401999999999,-8.57161,32,0,6,0,328,0,366,0,Town (Small)
Headford,Galway,53.4694617,-9.106133999999999,58,0,12,0,1222,220,1512,0,Town (Small)
Holycross,Tipperary,52.6397686,-7.870179299999998,54,0,0,26,716,48,844,0,Town (Small)
Hospital,Limerick,52.4743003,-8.4324543,36,0,2,2,550,182,772,0,Town (Small)
Inagh,Clare,52.8769834,-9.176764499999999,18,0,2,0,214,18,252,0,Town (Small)
Inchigeelagh,Cork,51.8424464,-9.1264323,6,0,0,0,128,20,154,0,Town (Small)
Inishannon,Cork,51.7649008,-8.6574773,144,4,2,0,1066,248,1464,0,Town (Small)
Inistioge,Kilkenny,52.4884908,-7.065458899999999,44,0,0,0,236,40,320,0,Town (Small)
Inniskeen,Monaghan,54.00315999999999,-6.58406,50,2,8,0,316,72,448,0,Town (Small)
Irishtown,Mayo,53.6627806,-8.8900518,22,0,6,0,168,32,228,0,Town (Small)
Jenkinstown,Louth,54.01605559999999,-6.3103519,86,0,6,8,416,2,518,0,Town (Small)
Johnstown,Kildare,53.2370579,-6.6217975,458,0,4,24,1412,88,1986,0,Town (Small)
Johnstown,Kilkenny,52.74851779999999,-7.556992999999999,20,2,0,0,358,88,468,0,Town (Small)
Johnstownbridge,Kildare,53.4019965,-6.855203299999999,160,0,4,20,610,108,902,0,Town (Small)
Julianstown,Meath,53.6729374,-6.285651,146,2,0,26,650,114,938,0,Town (Small)
Kanturk,Cork,52.17725489999999,-8.9051669,152,2,18,28,2498,668,3366,0,Town (Small)
Keadew,Roscommon,54.0511423,-8.1377557,22,0,2,4,168,14,210,0,Town (Small)
Keel-Dooagh,Mayo,53.9749643,-10.1266688,52,0,2,2,356,56,468,0,Town (Small)
Keenagh,Longford,53.622007,-7.8147206,162,0,2,8,640,136,948,0,Town (Small)
Kells,Kilkenny,52.5396697,-7.273187099999999,32,0,2,2,346,26,408,0,Town (Small)
Kells,Meath,53.72718030000001,-6.876972299999999,884,16,20,8,5138,1700,7766,0,Town (Small)
Kenmare,Kerry,51.8801017,-9.583520199999999,74,4,8,8,1982,732,2808,0,Town (Small)
Kentstown,Meath,53.6275364,-6.533341099999999,312,2,4,0,1126,204,1648,0,Town (Small)
Kernanstown,Carlow,52.835854,-6.932474399999999,6,0,0,2,218,28,254,0,Town (Small)
Keshcarrigan,Leitrim,54.0188646,-7.942526399999999,42,0,0,4,188,12,246,0,Town (Small)
Kilbeggan,Westmeath,53.3684574,-7.4994634,60,2,12,8,1288,434,1804,0,Town (Small)
Kilberry,Kildare,53.0311398,-7.016986999999999,36,0,4,4,290,22,356,0,Town (Small)
Kilbrin,Cork,51.8812776,-8.4408691,18,0,2,0,186,26,232,0,Town (Small)
Kilbrittain,Cork,51.6735577,-8.6917337,34,0,2,0,216,46,298,0,Town (Small)
Kilcloon,Meath,53.42723,-6.58392,42,2,2,30,456,62,594,0,Town (Small)
Kilcock,Kildare,53.3994266,-6.6681233,976,38,20,696,7518,2534,11782,0,Town (Small)
Kilcolgan,Galway,53.210233,-8.869438299999999,26,0,2,2,226,26,282,0,Town (Small)
Kilcoole,Wicklow,53.1062723,-6.064586100000001,536,20,14,300,3924,1146,5940,0,Town (Small)
Kilcormac,Offaly,53.1764113,-7.7274112,44,2,14,4,760,270,1094,0,Town (Small)
Kilcullen,Kildare,53.1302865,-6.745279099999999,228,10,12,76,3584,1384,5294,0,Town (Small)
Kilcummin,Kerry,52.0984108,-9.470070399999999,34,0,0,4,740,36,814,0,Town (Small)
Kildalkey,Meath,53.5714499,-6.9060291,166,6,4,4,690,172,1042,0,Town (Small)
Kildangan,Kildare,53.1052189,-7.013760100000001,118,0,2,26,500,88,734,0,Town (Small)
Kildare,Kildare,53.15980589999999,-6.9089763,1012,30,22,724,9220,2192,13200,0,Town (Small)
Kildavin,Carlow,52.683205,-6.6849832,6,0,4,0,172,22,204,0,Town (Small)
Kildimo,Limerick,52.6237328,-8.8120969,44,0,0,0,604,44,692,0,Town (Small)
Kildorrery,Cork,52.2464986,-8.4273898,46,0,2,2,352,72,474,0,Town (Small)
Kildrum,Donegal,54.9791343,-7.419445400000001,66,0,2,2,610,6,686,0,Town (Small)
Kildysart,Clare,52.6739738,-9.1075349,14,0,4,0,438,96,552,0,Town (Small)
Kilfenora,Clare,52.9899429,-9.218327,16,2,0,0,118,30,166,0,Town (Small)
Kilfinnane,Limerick,52.3591426,-8.4682225,30,2,6,2,560,216,816,0,Town (Small)
Kilflynn,Kerry,52.3505422,-9.625316399999999,2,0,0,2,178,14,196,0,Town (Small)
Kilgarvan,Kerry,51.9031476,-9.4384061,18,2,0,0,268,30,318,0,Town (Small)
Kilkee,Clare,52.6828228,-9.6444116,40,0,4,0,552,196,792,0,Town (Small)
Kilkelly,Mayo,53.87179219999999,-8.8502415,26,0,2,0,440,42,510,0,Town (Small)
Kilkenny,Kilkenny,52.6549027,-7.246402900000001,1564,82,66,252,21044,8804,31812,3,Town (Medium)
Kilkishen,Clare,52.8071551,-8.747034600000001,94,2,10,2,652,110,870,0,Town (Small)
Kill,Kildare,53.24870629999999,-6.590530600000001,808,14,8,24,3654,604,5112,0,Town (Small)
Kill,Waterford,52.1758844,-7.335392100000001,72,2,2,0,276,72,424,0,Town (Small)
Killala,Mayo,54.2125146,-9.220999899999999,68,0,4,2,472,74,620,0,Town (Small)
Killaloe,Clare,52.808886,-8.4475152,96,0,16,0,1234,504,1850,0,Town (Small)
Killarney,Kerry,52.0598646,-9.504362900000002,750,42,56,96,10416,4364,15724,3,Town (Medium)
Killashee,Longford,53.6812889,-7.879322800000001,16,0,0,2,202,22,242,0,Town (Small)
Killavullen,Cork,52.1465049,-8.5166811,34,0,4,0,278,52,368,0,Town (Small)
Killeagh,Cork,51.9424888,-7.9920158,156,0,0,16,846,166,1184,0,Town (Small)
Killeigh,Offaly,53.2140733,-7.450342699999999,44,0,0,6,166,26,242,0,Town (Small)
Killenard,Laois,53.1349458,-7.1478515,92,0,4,40,606,166,908,0,Town (Small)
Killenaule,Tipperary,52.5684251,-7.6734719,38,2,6,2,612,106,766,0,Town (Small)
Killeshandra,Cavan,54.0138727,-7.5282313,36,0,0,0,152,56,244,0,Town (Small)
Killimor,Galway,53.1656231,-8.2910516,30,0,6,2,238,54,330,0,Town (Small)
Killinierin,Wexford,52.7300058,-6.2850306,26,0,2,6,288,46,368,0,Town (Small)
Killorglin,Kerry,52.10635079999999,-9.7843403,84,8,6,10,1798,582,2488,0,Town (Small)
Killucan-Rathwire,Westmeath,53.5138676,-7.1428989,204,2,12,8,1398,374,1998,0,Town (Small)
Killumney,Cork,51.8637285,-8.6539137,156,0,6,0,1816,90,2068,0,Town (Small)
Killurin,Offaly,53.2173433,-7.5509127,30,0,2,4,166,6,208,0,Town (Small)
Killurin,Wexford,53.2173433,-7.5509127,10,0,4,0,276,6,296,0,Town (Small)
Killybegs,Donegal,54.6347625,-8.4547084,34,2,8,2,1030,238,1314,0,Town (Small)
Killygordon,Donegal,54.7968309,-7.683535399999999,110,0,0,0,652,116,878,0,Town (Small)
Kilmacanogue,Wicklow,53.16901,-6.13946,142,4,18,52,1032,142,1390,0,Town (Small)
Kilmacow,Kilkenny,52.31208050000001,-7.1765298,68,2,4,0,666,42,782,0,Town (Small)
Kilmacrennan,Donegal,55.030269,-7.7793541,176,2,4,0,744,100,1026,0,Town (Small)
Kilmacthomas,Waterford,52.2054897,-7.426765199999999,38,2,10,0,810,192,1052,0,Town (Small)
Kilmaine,Mayo,53.5811547,-9.1227567,30,0,2,2,150,34,218,0,Town (Small)
Kilmainhamwood,Meath,53.852351,-6.8048926,56,2,4,2,192,68,324,0,Town (Small)
Kilmaley,Clare,52.8188446,-9.1088116,38,2,0,2,354,12,408,0,Town (Small)
Kilmallock,Limerick,52.3986185,-8.5715956,36,2,10,2,1210,458,1718,0,Town (Small)
Kilmead,Kildare,53.0347993,-6.9022241,78,0,6,8,308,68,468,0,Town (Small)
Kilmeaden,Waterford,52.23333,-7.24281,22,0,0,0,476,6,504,0,Town (Small)
Kilmeage,Kildare,53.2510535,-6.8399263,168,2,4,14,1102,46,1336,0,Town (Small)
Kilmessan,Meath,53.55888849999999,-6.6589527,156,2,0,8,836,222,1224,0,Town (Small)
Kilmihil,Clare,52.7208888,-9.3198723,6,0,6,4,394,92,502,0,Town (Small)
Kilmoganny,Kilkenny,52.46147269999999,-7.3282056,22,0,0,0,226,24,272,0,Town (Small)
Kilmore,Wexford,52.2056319,-6.5473792,12,4,0,0,204,24,244,0,Town (Small)
Kilmore Quay,Wexford,52.17571940000001,-6.5863919,80,0,8,0,328,44,460,0,Town (Small)
Kilmuckridge,Wexford,52.51308849999999,-6.283934599999999,48,6,4,0,604,206,868,0,Town (Small)
Kilmurry,Clare,52.7781704,-8.7826372,56,0,2,0,248,30,336,0,Town (Small)
Kilnaleck,Cavan,53.8622249,-7.3213784,60,2,4,0,392,140,598,0,Town (Small)
Kilpedder,Wicklow,53.11037349999999,-6.1055471,178,6,12,54,1236,56,1542,0,Town (Small)
Kilrush,Clare,52.6406999,-9.4859374,36,2,10,6,1502,696,2252,0,Town (Small)
Kilsheelan,Tipperary,52.3611942,-7.580387699999999,124,0,2,0,876,102,1104,0,Town (Small)
Kilteel,Kildare,53.2359545,-6.521514199999999,42,4,0,8,270,4,328,0,Town (Small)
Kilteely,Limerick,52.55401999999999,-8.391494999999999,18,0,0,0,186,10,214,0,Town (Small)
Kiltimagh,Mayo,53.8494839,-8.9994739,30,2,10,12,1062,280,1396,0,Town (Small)
Kilworth,Cork,52.1760533,-8.247312299999999,142,4,10,0,1070,308,1534,0,Town (Small)
Kingscourt,Cavan,53.9068739,-6.8052229,140,0,20,6,2924,636,3726,0,Town (Small)
Kinlough,Leitrim,54.4487146,-8.2858213,138,0,18,2,1198,172,1528,0,Town (Small)
Kinnegad,Westmeath,53.4568103,-7.1049959,884,10,8,18,2380,656,3956,0,Town (Small)
Kinnitty,Offaly,53.097806,-7.7189969,38,0,0,0,238,58,334,0,Town (Small)
Kinsale,Cork,51.7058853,-8.5222327,306,16,20,20,4692,1788,6842,0,Town (Small)
Kinsaley,Dublin,53.4245123,-6.1763644,112,0,2,92,742,86,1034,0,Town (Small)
Kinsealy-Drinan,Dublin,53.4245123,-6.1763644,1758,44,34,142,6546,2020,10544,0,Town (Small)
Kinvarra,Galway,53.1389085,-8.9362964,56,0,6,4,600,272,938,0,Town (Small)
Knightstown,Kerry,51.9253777,-10.2918805,32,6,0,0,164,28,230,0,Town (Small)
Knock,Mayo,53.7900638,-8.921465999999999,82,2,6,2,746,108,946,0,Town (Small)
Knockananna,Wicklow,52.87287190000001,-6.4970477,34,0,8,2,184,14,242,0,Town (Small)
Knockbridge,Louth,53.9718223,-6.486281099999999,118,4,2,4,728,164,1020,0,Town (Small)
Knockcroghery,Roscommon,53.5743895,-8.0922325,56,0,2,4,426,44,532,0,Town (Small)
Knocklong,Limerick,52.4373844,-8.4117892,26,0,4,0,200,14,244,0,Town (Small)
Knocknagree,Cork,51.8897908,-8.4983892,20,2,0,0,188,38,248,0,Town (Small)
Knockraha,Cork,51.9579423,-8.3400979,56,2,0,4,536,180,778,0,Town (Small)
Knocktopher,Kilkenny,52.4856956,-7.217107599999999,22,0,2,0,180,16,220,0,Town (Small)
Lackaghbeg,Galway,53.3659038,-8.8813396,116,0,8,2,584,156,866,0,Town (Small)
Ladysbridge,Cork,51.89760829999999,-8.0433337,228,2,0,8,872,40,1150,0,Town (Small)
Laghy,Donegal,54.61819999999999,-8.0876,2,0,4,0,154,24,184,0,Town (Small)
Lahardane,Mayo,54.0295472,-9.3220186,36,0,0,0,222,18,276,0,Town (Small)
Lanesborough-Ballyleague,Roscommon,53.6744226,-7.9929157,108,2,2,16,1564,304,1996,0,Town (Small)
Laragh,Wicklow,53.0089293,-6.3004389,52,2,2,2,386,92,536,0,Town (Small)
Laytown-Bettystown-Mornington-Donacarney,Meath,53.69861100000001,-6.244721999999999,3678,46,40,836,13256,2456,20312,3,Town (Medium)
Leap,Cork,51.5811998,-9.1408671,4,2,2,0,124,4,136,0,Town (Small)
Legan,Longford,53.6212481,-7.6308386,48,0,4,0,290,58,400,0,Town (Small)
Lehinch,Clare,52.9334632,-9.3440769,36,2,0,2,794,108,942,0,Town (Small)
Leighlinbridge,Carlow,52.73605190000001,-6.9759183,126,0,0,8,992,122,1248,0,Town (Small)
Leitrim,Leitrim,53.99019,-8.06501,80,0,4,6,696,126,912,0,Town (Small)
Leixlip,Kildare,53.36384280000001,-6.4900033,2236,94,32,1842,11794,4658,20656,3,Town (Medium)
Lemybrien,Waterford,52.1683402,-7.519583700000001,20,0,6,0,272,6,304,0,Town (Small)
Letterkenny,Donegal,54.9558392,-7.7342787,2608,14,68,30,19522,3916,26158,3,Town (Medium)
Lifford,Donegal,54.8328751,-7.485638899999999,192,0,8,2,1268,182,1652,0,Town (Small)
Limerick city and suburbs,Limerick,52.663839,-8.626729899999999,9668,368,194,318,69568,30006,110122,2,Town (Large)
Liscannor,Clare,52.9383667,-9.3922452,6,0,0,0,100,6,112,0,Town (Small)
Liscarroll,Cork,52.2600728,-8.8041711,14,0,0,0,190,40,244,0,Town (Small)
Lisdoonvarna,Clare,53.0301669,-9.2897106,10,2,0,0,294,154,460,0,Town (Small)
Lismore,Waterford,52.13581840000001,-7.9376803,54,4,20,0,1030,510,1618,0,Town (Small)
Lisronagh,Tipperary,52.417443,-7.7028889,26,2,2,0,230,16,276,0,Town (Small)
Lissycasey,Clare,52.7446724,-9.158153,86,0,2,0,512,4,604,0,Town (Small)
Listowel,Kerry,52.4460488,-9.4853655,224,4,18,12,3958,884,5100,0,Town (Small)
Littleton,Tipperary,52.6369829,-7.735418999999998,60,0,2,4,286,82,434,0,Town (Small)
Lixnaw,Kerry,52.4064615,-9.6181275,128,2,4,0,794,70,998,0,Town (Small)
Loch An Iúir,Donegal,54.9981527,-8.291505299999999,72,0,0,0,310,26,408,0,Town (Small)
Loch Gowna,Cavan,53.87370490000001,-7.5336731,8,0,0,0,144,36,188,0,Town (Small)
Longford,Longford,53.7276296,-7.7932573,760,12,36,212,6942,3074,11036,0,Town (Small)
Longwood,Meath,53.4550101,-6.9247866,136,2,14,20,1482,706,2360,0,Town (Small)
Loughglinn,Roscommon,53.8225476,-8.561582999999999,10,0,4,2,154,34,204,0,Town (Small)
Loughrea,Galway,53.1989136,-8.5660931,418,8,20,10,5490,1404,7350,0,Town (Small)
Loughshinny,Dublin,53.54922800000001,-6.0829049,108,6,4,62,494,122,796,0,Town (Small)
Louisburgh,Mayo,53.7631376,-9.8090849,12,0,2,0,300,64,378,0,Town (Small)
Louth,Louth,53.9507955,-6.5406821,142,2,2,2,610,102,860,0,Town (Small)
Lusk,Dublin,53.52632639999999,-6.1658841,1536,48,22,634,7048,2784,12072,0,Town (Small)
Lyre,Cork,52.0817595,-8.8580581,22,0,0,0,148,50,220,0,Town (Small)
Macroom,Cork,51.9048039,-8.9588478,160,6,24,8,3924,1064,5186,0,Town (Small)
Maigh Cuilinn,Galway,53.3387481,-9.1814776,284,6,8,10,2096,442,2846,0,Town (Small)
Malahide,Dublin,53.4509236,-6.1501378,2010,46,44,3284,12698,4340,22422,3,Town (Medium)
Malin,Donegal,55.2949279,-7.263082499999999,2,0,0,0,64,8,74,0,Town (Small)
Mallow,Cork,52.13897619999999,-8.6539164,582,22,62,428,12144,2932,16170,3,Town (Medium)
Manor Kilbride,Wicklow,53.1986734,-6.4669351,20,0,4,2,184,6,216,0,Town (Small)
Manorcunningham,Donegal,54.9552585,-7.6233678,178,0,6,2,766,24,976,0,Town (Small)
Manorhamilton,Leitrim,54.3048735,-8.1766956,64,2,12,4,1306,522,1910,0,Town (Small)
Maynooth,Kildare,53.3812896,-6.5918499,1766,84,34,2166,12062,7018,23130,3,Town (Medium)
Midleton,Cork,51.9143321,-8.1726276,976,32,24,718,13762,3020,18532,3,Town (Medium)
Milford,Cork,51.8721994,-8.4998655,20,0,0,0,254,20,294,0,Town (Small)
Milford,Donegal,55.0883927,-7.698962099999999,74,4,8,0,932,160,1178,0,Town (Small)
Millstreet,Cork,52.06013180000001,-9.0647121,76,0,20,18,1642,314,2070,0,Town (Small)
Milltown,Galway,53.6137016,-8.898962000000001,28,0,4,2,242,8,284,0,Town (Small)
Milltown,Kerry,52.1451912,-9.7175069,70,2,4,4,1042,296,1418,0,Town (Small)
Milltown,Kildare,53.2051083,-6.861192699999999,28,4,14,12,366,26,450,0,Town (Small)
Miltown Malbay,Clare,52.8562013,-9.4007763,36,0,2,4,852,116,1010,0,Town (Small)
Mitchelstown,Cork,52.2662127,-8.2698863,110,4,4,2,3010,1094,4224,0,Town (Small)
Moate,Westmeath,53.3949987,-7.7186188,140,6,6,22,2698,558,3430,0,Town (Small)
Model Village or Dripsey,Cork,51.9143772,-8.7420906,56,0,4,0,306,10,376,0,Town (Small)
Mogeely,Cork,51.8861108,-8.4989926,64,4,2,4,554,24,652,0,Town (Small)
Mohill,Leitrim,53.9218288,-7.865310099999999,26,0,6,14,742,222,1010,0,Town (Small)
Monaghan,Monaghan,54.2492434,-6.9683082,466,10,22,22,6608,1998,9126,0,Town (Small)
Monamolin,Wexford,52.556856,-6.3496134,58,0,0,0,252,18,328,0,Town (Small)
Monard,Tipperary,52.5107814,-8.2232875,28,0,6,8,260,50,352,0,Town (Small)
Monasterevin,Kildare,53.1400651,-7.060377,530,10,26,248,5018,966,6798,0,Town (Small)
Moneenroe,Kilkenny,52.83215449999999,-7.171786499999999,60,0,6,2,744,62,874,0,Town (Small)
Moneygall,Offaly,52.87973760000001,-7.9578079,48,0,2,2,360,34,446,0,Town (Small)
Monivea,Galway,53.37426199999999,-8.702721,26,0,4,8,508,62,608,0,Town (Small)
Mooncoin,Kilkenny,52.2951348,-7.2565554,72,0,6,6,976,214,1274,0,Town (Small)
Moroe,Limerick,52.649444,-8.39949,192,4,8,0,1510,232,1946,0,Town (Small)
Mountbellew,Galway,53.47188,-8.5049,32,0,2,2,788,126,950,0,Town (Small)
Mountcharles,Donegal,54.6474421,-8.1947189,98,2,4,2,660,82,848,0,Town (Small)
Mountcollins,Limerick,52.3220585,-9.2386125,22,2,4,0,220,4,252,0,Town (Small)
Mountmellick,Laois,53.1181481,-7.3267379,278,2,14,140,4194,1190,5818,0,Town (Small)
Mountrath,Laois,53.0025597,-7.4751396,160,4,10,26,1590,456,2246,0,Town (Small)
Mountshannon,Clare,52.9337525,-8.4330044,28,0,2,0,220,28,278,0,Town (Small)
Moville,Donegal,55.1890182,-7.040053299999999,106,2,6,2,1038,280,1434,0,Town (Small)
Moylough,Galway,53.48770529999999,-8.565876,54,0,0,2,648,50,754,0,Town (Small)
Mucklagh,Offaly,53.250532,-7.550175399999999,102,2,6,26,930,116,1182,0,Town (Small)
Muff,Donegal,55.0680564,-7.2689498,220,4,10,0,1458,108,1800,0,Town (Small)
Muinebeag (Bagenalstown),Carlow,52.7007292,-6.957055599999999,102,4,14,60,2138,1054,3372,0,Town (Small)
Mullagh,Cavan,53.8115174,-6.945981799999999,322,2,10,2,1490,304,2130,0,Town (Small)
Mullaghmore,Sligo,54.4655463,-8.4494545,10,0,4,2,114,8,138,0,Town (Small)
