Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Mullinahone,Tipperary,52.512032,-7.505708599999999,66,2,0,0,418,98,584,0,Town (Small)
Mullinavat,Kilkenny,52.3679303,-7.1711881,18,0,0,2,164,20,204,0,Town (Small)
Mullingar,Westmeath,53.5259334,-7.3381378,1004,64,90,544,19164,5576,26442,3,Town (Medium)
Mulranny,Mayo,53.9061783,-9.781377299999999,52,0,0,0,206,52,310,0,Town (Small)
Multyfarnham,Westmeath,53.6252723,-7.3893159,42,0,4,4,360,96,506,0,Town (Small)
Mungret,Limerick,52.6356745,-8.693501999999999,42,0,0,2,422,38,504,0,Town (Small)
Murntown,Wexford,52.28724,-6.5222437,28,2,0,0,376,32,438,0,Town (Small)
Myrtleville,Cork,51.7829961,-8.3003542,70,0,10,6,952,64,1102,0,Town (Small)
Myshall,Carlow,52.6858791,-6.7804051,52,0,0,2,260,26,340,0,Town (Small)
Mín Lárach,Donegal,55.1451784,-8.1850861,64,0,2,4,356,20,446,0,Town (Small)
Na Dúnaibh,Donegal,55.1948628,-7.8369654,122,0,6,0,502,38,668,0,Town (Small)
Na Forbacha,Galway,53.24918,-9.20495,80,0,0,4,812,124,1020,0,Town (Small)
Naas,Kildare,53.2205654,-6.6593079,2620,128,76,1500,23488,6738,34550,3,Town (Medium)
Narraghmore,Kildare,53.04868010000001,-6.8294142,100,4,0,6,440,18,568,0,Town (Small)
Naul,Dublin,53.5850362,-6.288999899999999,104,0,6,26,712,128,976,0,Town (Small)
Navan,Meath,53.647092,-6.6966605,4880,88,96,140,28866,9904,43974,3,Town (Medium)
Nenagh,Tipperary,52.8642968,-8.1975561,450,14,24,22,8688,2992,12190,0,Town (Small)
New Ross,Wexford,52.3958337,-6.945456699999999,668,14,34,12,6710,1810,9248,0,Town (Small)
Newbawn,Wexford,52.3428304,-6.7912642,24,0,0,0,142,18,184,0,Town (Small)
Newbliss,Monaghan,54.1576466,-7.1368133,44,0,0,0,326,50,420,0,Town (Small)
Newbridge,Kildare,53.17507579999999,-6.8047467,1836,94,66,1736,20074,7288,31094,3,Town (Medium)
Newcastle,Dublin,53.2998135,-6.5010237,780,20,10,126,4108,1034,6078,0,Town (Small)
Newcastle,Tipperary,52.2725965,-7.8112834,64,0,2,0,264,94,424,0,Town (Small)
Newcastle,Wicklow,53.07335519999999,-6.057185,160,8,4,62,938,94,1266,0,Town (Small)
Newcastle West,Limerick,52.4492389,-9.0499054,444,4,14,12,6540,1564,8578,0,Town (Small)
Newmarket,Cork,52.2140232,-9.0030815,48,0,8,6,958,128,1148,0,Town (Small)
Newmarket-On-Fergus,Clare,52.7605328,-8.895750099999999,208,8,4,2,1848,286,2356,0,Town (Small)
Newport,Mayo,53.8852758,-9.5463685,68,0,8,2,652,134,864,0,Town (Small)
Newport,Tipperary,52.71089629999999,-8.406208399999999,112,2,6,0,2352,538,3010,0,Town (Small)
Newtown,Cork,51.8282409,-8.3803862,30,0,6,0,444,70,550,0,Town (Small)
Newtown,Laois,52.8630266,-7.1082572,36,0,2,0,274,18,330,0,Town (Small)
Newtown,Tipperary,52.8778127,-8.292807,24,0,6,0,484,68,582,0,Town (Small)
Newtowncunningham,Donegal,54.99881749999999,-7.5127836,246,2,4,2,1014,176,1444,0,Town (Small)
Newtownforbes,Longford,53.7654838,-7.835621,112,2,2,14,710,114,954,0,Town (Small)
Newtownmountkennedy,Wicklow,53.0927815,-6.112023,670,14,26,68,3318,576,4672,0,Town (Small)
Newtownsandes,Kerry,52.50166,-9.3705609,40,0,0,0,308,42,390,0,Town (Small)
Nobber,Meath,53.8217066,-6.747939799999999,28,0,0,0,280,152,460,0,Town (Small)
Nurney,Kildare,53.0966332,-6.9482121,84,0,6,16,440,114,660,0,Town (Small)
O'Briensbridge-Montpelier,Clare,52.75060389999999,-8.496743,56,0,10,0,430,12,508,0,Town (Small)
Oilgate,Wexford,52.42101,-6.52994,40,0,4,0,352,46,442,0,Town (Small)
Oldcastle,Meath,53.7700178,-7.162411799999999,44,2,16,4,1108,604,1778,0,Town (Small)
Oldtown,Dublin,53.522678,-6.315430699999999,92,2,6,2,530,54,686,0,Town (Small)
Omeath,Louth,54.0882604,-6.2593365,124,2,6,0,558,92,782,0,Town (Small)
Oola,Limerick,52.5296598,-8.2596358,36,0,2,4,258,28,328,0,Town (Small)
Oram,Monaghan,54.1508756,-6.7016152,16,0,4,0,164,24,208,0,Town (Small)
Oranmore,Galway,53.2647506,-8.9297335,436,18,10,120,5970,1400,7954,0,Town (Small)
Oughterard,Galway,53.42854810000001,-9.3189472,134,6,8,4,1696,336,2184,0,Town (Small)
Oulart,Wexford,52.5039145,-6.390861699999999,22,0,2,4,214,24,266,0,Town (Small)
Palatine,Carlow,52.8649974,-6.8610348,16,0,2,4,348,6,376,0,Town (Small)
Pallasgreen,Limerick,52.54873,-8.355184999999999,52,0,2,0,202,20,276,0,Town (Small)
Pallaskenry,Limerick,52.6447411,-8.8674281,12,0,4,0,584,168,768,0,Town (Small)
Parteen,Clare,52.696836,-8.6149881,32,2,4,4,776,160,978,0,Town (Small)
Passage East,Waterford,52.2396938,-6.974394999999999,40,4,2,0,712,74,832,0,Town (Small)
Passage West-Monkstown,Cork,51.8485442,-8.3325695,654,24,28,6,6240,678,7630,0,Town (Small)
Patrickswell,Limerick,52.5980577,-8.707284399999999,114,4,4,0,728,134,984,0,Town (Small)
Paulstown,Kilkenny,52.6793223,-7.021358999999999,154,2,2,0,996,132,1286,0,Town (Small)
Pettigo,Donegal,54.54943,-7.832033900000001,20,0,2,0,96,16,134,0,Town (Small)
Piercetown,Wexford,52.28785999999999,-6.48747,16,0,2,0,296,36,350,0,Town (Small)
Piltown,Kilkenny,52.3511631,-7.331338099999999,184,2,8,2,1212,208,1616,0,Town (Small)
Pollagh,Offaly,53.2768407,-7.709173000000001,54,0,2,0,178,18,252,0,Town (Small)
Portarlington,Laois,53.1616096,-7.1895142,1172,18,36,650,7934,1676,11486,0,Town (Small)
Portlaoise,Laois,53.0328123,-7.298793300000001,2156,64,84,792,20472,4610,28178,3,Town (Medium)
Portlaw,Waterford,52.28926569999999,-7.3147439,380,8,4,2,1696,332,2422,0,Town (Small)
Portmagee,Kerry,51.8854295,-10.36194,30,0,4,0,68,30,132,0,Town (Small)
Portmarnock,Dublin,53.418712,-6.154901499999999,724,42,16,2170,6590,2954,12496,0,Town (Small)
Portrane,Dublin,53.49319999999999,-6.11462,166,10,8,136,1006,118,1444,0,Town (Small)
Portroe,Tipperary,52.8847,-8.344875,62,0,6,0,454,44,566,0,Town (Small)
Portumna,Galway,53.0927811,-8.218540599999999,32,0,6,12,1286,448,1784,0,Town (Small)
Prosperous,Kildare,53.2881253,-6.7550083,310,6,8,34,2222,552,3132,0,Town (Small)
Puckaun,Tipperary,52.931884,-8.2385501,24,0,0,0,222,28,274,0,Town (Small)
Quigleys Point,Donegal,55.1248808,-7.194928300000001,52,0,0,0,192,12,256,0,Town (Small)
Quilty,Clare,52.81725669999999,-9.4559219,6,0,0,0,176,8,190,0,Town (Small)
Quin,Clare,52.8175778,-8.8637803,104,4,6,2,1004,190,1310,0,Town (Small)
Raharney,Westmeath,53.5241052,-7.0960895,30,2,0,4,140,12,188,0,Town (Small)
Ramelton,Donegal,55.03590000000001,-7.64809,204,0,6,0,1006,166,1382,0,Town (Small)
Rampark,Louth,53.97515,-6.48617,78,0,2,4,444,80,608,0,Town (Small)
Rann Na Feirste,Donegal,55.034738,-8.3063621,74,0,2,0,324,30,430,0,Town (Small)
Raphoe,Donegal,54.8738705,-7.5994379,50,0,10,0,784,246,1090,0,Town (Small)
Rathangan,Kildare,53.2210179,-6.9945422,98,10,8,94,3268,784,4262,0,Town (Small)
Rathard-Aherla,Cork,51.8536728,-8.732601899999999,106,0,6,0,736,18,866,0,Town (Small)
Rathcoffey,Kildare,53.3342027,-6.678636200000001,56,0,2,12,314,64,448,0,Town (Small)
Rathcoole,Cork,52.0942583,-8.974065099999999,42,0,2,2,218,36,300,0,Town (Small)
Rathcoole,Dublin,53.2817307,-6.466167,422,32,16,148,4636,2108,7362,0,Town (Small)
Rathcormac,Cork,52.07613,-8.28176,388,6,10,4,1890,518,2816,0,Town (Small)
Rathdowney,Laois,52.8555198,-7.584797300000001,54,0,4,24,1164,408,1654,0,Town (Small)
Rathdrum,Wicklow,52.93231230000001,-6.231101199999999,80,6,8,110,1974,614,2792,0,Town (Small)
Rathkeale,Limerick,52.5225255,-8.9403655,32,0,10,0,590,312,944,0,Town (Small)
Rathmolyon,Meath,53.488177,-6.8036692,84,0,4,12,502,24,626,0,Town (Small)
Rathmore,Kerry,52.0842484,-9.2184337,126,2,6,12,868,40,1054,0,Town (Small)
Rathmullan,Donegal,55.0970707,-7.5363061,50,0,4,2,386,82,524,0,Town (Small)
Rathnew,Wicklow,52.9946004,-6.082812,276,12,22,44,3490,818,4662,0,Town (Small)
Rathowen,Westmeath,53.656076,-7.5203959,32,0,2,0,132,36,202,0,Town (Small)
Rathtoe,Carlow,52.835854,-6.932474399999999,42,2,0,4,352,50,450,0,Town (Small)
Rathvilly,Carlow,52.87983449999999,-6.6960481,138,2,8,0,1012,146,1306,0,Town (Small)
Ratoath,Meath,53.5062898,-6.465680099999999,1544,32,18,116,9354,3642,14706,0,Town (Small)
Rear Cross,Tipperary,52.6863722,-8.2370086,20,0,6,0,114,36,176,0,Town (Small)
Redcross,Wicklow,52.88974400000001,-6.1452741,60,0,0,8,218,38,324,0,Town (Small)
Rhode,Offaly,53.3499888,-7.198962900000001,156,0,4,0,712,82,954,0,Town (Small)
Ringaskiddy-Loughbeg,Cork,51.83042829999999,-8.3219487,62,0,8,2,648,86,806,0,Town (Small)
Rivermeade,Dublin,53.45355,-6.28999,132,0,2,0,354,116,604,0,Town (Small)
Riverstick,Cork,51.773023,-8.4960524,238,2,0,2,888,34,1164,0,Town (Small)
Riverstown,Sligo,54.1304398,-8.3952507,38,0,4,2,376,58,478,0,Town (Small)
Robertstown,Kildare,53.269268,-6.815316399999999,86,2,4,6,792,72,962,0,Town (Small)
Robinstown,Meath,53.5946777,-6.7280973,74,0,4,2,396,108,584,0,Town (Small)
Rochfortbridge,Westmeath,53.4146417,-7.2996835,136,0,24,6,1194,468,1828,0,Town (Small)
Rockcorry,Monaghan,54.1178982,-7.0148381,46,2,4,0,264,46,362,0,Town (Small)
Roosky,Leitrim,53.827075,-7.9168239,94,0,4,12,654,110,874,0,Town (Small)
Roscommon,Roscommon,53.63401649999999,-8.181945899999999,254,10,32,70,5814,1560,7740,0,Town (Small)
Roscrea,Tipperary,52.9551789,-7.798469600000001,388,8,52,22,4808,1314,6592,0,Town (Small)
Rosegreen,Tipperary,52.469442,-7.8327776,22,0,0,0,216,34,272,0,Town (Small)
Rosscahill,Galway,53.38712,-9.246229999999999,38,0,0,0,392,30,460,0,Town (Small)
Rosscarbery,Cork,51.57767,-9.038,14,2,4,0,566,108,694,0,Town (Small)
Rosses Point,Sligo,54.3047546,-8.5640206,68,2,0,8,764,118,960,0,Town (Small)
Rosslare,Wexford,52.2720275,-6.3892254,218,2,8,32,1470,210,1940,0,Town (Small)
Rosslare Harbour,Wexford,52.2513061,-6.3414908,342,2,24,8,1712,258,2346,0,Town (Small)
Roundstone,Galway,53.39642079999999,-9.919018399999999,32,0,2,0,124,30,188,0,Town (Small)
Roundwood,Wicklow,53.0657875,-6.2241877,204,4,4,8,778,224,1222,0,Town (Small)
Rush,Dublin,53.5256684,-6.0911586,1790,56,62,1052,8350,2900,14210,3,Town (Medium)
Saggart,Dublin,53.284435,-6.440534599999999,346,30,2,418,2792,834,4422,0,Town (Small)
Saleen,Cork,51.8637224,-8.161825799999999,86,2,2,10,658,72,830,0,Town (Small)
Sallins,Kildare,53.251067,-6.6652312,1018,28,18,1018,5270,1454,8806,0,Town (Small)
Scarriff-Tuamgraney,Clare,52.8985172,-8.541013,18,0,6,0,470,172,666,0,Town (Small)
Schull,Cork,51.526867,-9.5479801,14,4,6,0,432,180,636,0,Town (Small)
Scotshouse,Monaghan,54.1226216,-7.2471111,74,0,0,0,316,42,432,0,Town (Small)
Scotstown,Monaghan,54.2778889,-7.066951400000001,68,2,0,6,490,32,598,0,Town (Small)
Shanagarry,Cork,51.8527122,-8.0299249,90,2,8,12,700,78,890,0,Town (Small)
Shanagolden,Limerick,52.5746155,-9.1004049,12,0,0,0,130,8,150,0,Town (Small)
Shanbally,Cork,51.8334141,-8.3570879,32,2,0,0,402,68,504,0,Town (Small)
Shanballymore,Cork,52.2187977,-8.4759914,30,0,2,4,166,38,240,0,Town (Small)
Shannon,Clare,52.71178219999999,-8.8783365,696,34,38,12,8318,3710,12808,0,Town (Small)
Shannonbridge,Offaly,53.279632,-8.044721299999999,36,0,0,0,98,6,140,0,Town (Small)
Shercock,Cavan,53.9950108,-6.8979854,70,0,2,2,500,212,786,0,Town (Small)
Shillelagh,Wicklow,52.7545156,-6.533460499999999,36,0,0,0,376,52,464,0,Town (Small)
Shinrone,Offaly,52.9844035,-7.9245622,82,0,6,4,498,108,698,0,Town (Small)
Shrule,Mayo,53.5202745,-9.0883693,50,0,0,0,364,32,446,0,Town (Small)
Silvermines,Tipperary,52.79436099999999,-8.2366272,36,2,2,0,280,26,346,0,Town (Small)
Sixmilebridge,Clare,52.7420054,-8.772400500000002,446,10,18,46,2966,478,3964,0,Town (Small)
Skerries,Dublin,53.5805519,-6.1078779,606,34,26,2244,6622,3734,13266,0,Town (Small)
Skibbereen,Cork,51.55592439999999,-9.262130299999999,68,2,12,2,2382,880,3346,0,Town (Small)
Slane,Meath,53.7086474,-6.543651199999999,340,2,6,2,1192,276,1818,0,Town (Small)
Slieverue,Kilkenny,52.2828142,-7.0689659,50,2,2,2,424,66,546,0,Town (Small)
Sligo,Sligo,54.27661029999999,-8.4760888,978,60,50,102,14140,7430,22760,3,Town (Medium)
Smithborough,Monaghan,54.2213027,-7.0981545,80,0,2,0,550,52,684,0,Town (Small)
Sneem,Kerry,51.8373942,-9.8983245,46,0,0,0,184,146,376,0,Town (Small)
Spa,Kerry,52.27538999999999,-9.788499999999999,6,0,0,6,380,40,432,0,Town (Small)
Spanish Point,Clare,52.8466428,-9.4397015,8,0,0,10,220,16,254,0,Town (Small)
St. Johnston,Donegal,54.93468,-7.461359999999999,90,0,0,0,410,76,576,0,Town (Small)
Stamullen,Meath,53.63023,-6.26834,614,4,10,202,3982,870,5682,0,Town (Small)
Stoneyford,Kilkenny,52.5370387,-7.229316900000001,14,0,0,2,252,26,294,0,Town (Small)
Stradbally,Laois,53.01579830000001,-7.149471699999999,186,0,10,18,1126,200,1540,0,Town (Small)
Stradbally,Waterford,52.1313569,-7.4608978,54,0,0,0,516,30,600,0,Town (Small)
Straffan,Kildare,53.3118851,-6.608824800000001,132,2,0,28,1148,260,1570,0,Town (Small)
Strandhill,Sligo,54.26999009999999,-8.598940299999999,134,2,4,16,1956,318,2430,0,Town (Small)
Stratford,Wicklow,52.9878852,-6.675076499999999,12,0,0,0,214,36,262,0,Town (Small)
Strokestown,Roscommon,53.7758666,-8.1035319,46,0,2,2,620,194,864,0,Town (Small)
Summerhill,Meath,53.4813655,-6.732514699999999,180,2,10,14,894,106,1206,0,Town (Small)
Suncroft,Kildare,53.1075785,-6.8613827,50,2,0,8,370,70,500,0,Town (Small)
Swanlinbar,Cavan,54.1937636,-7.7047113,24,0,6,0,114,94,238,0,Town (Small)
Swinford,Mayo,53.9437021,-8.950006,44,0,4,2,1068,386,1504,0,Town (Small)
Swords,Dublin,53.4557467,-6.219740600000001,10364,282,90,422,32242,10730,54130,3,Town (Medium)
Taghmon,Wexford,52.3229838,-6.6546699,112,0,12,0,430,152,706,0,Town (Small)
Tagoat,Wexford,52.2454387,-6.388300099999999,88,0,2,2,508,56,656,0,Town (Small)
Tallanstown,Louth,53.9200662,-6.5471834,110,0,0,8,634,134,886,0,Town (Small)
Tallow,Waterford,52.09214069999999,-8.007030199999999,166,0,4,0,712,258,1140,0,Town (Small)
Tarbert,Kerry,52.5724738,-9.374537199999999,10,0,2,0,360,148,520,0,Town (Small)
Templemore,Tipperary,52.794802,-7.839860900000001,34,8,12,54,1582,620,2310,0,Town (Small)
Templetuohy,Tipperary,52.78847,-7.721649999999999,24,0,0,0,212,40,276,0,Town (Small)
Termonbarry,Roscommon,53.7422919,-7.920643500000001,82,4,2,10,772,46,916,0,Town (Small)
Termonfeckin,Louth,53.76101389999999,-6.271843199999999,298,4,8,40,1942,198,2490,0,Town (Small)
The Ballagh,Wexford,52.47257,-6.43323,62,0,6,0,574,50,692,0,Town (Small)
The Commons,Tipperary,52.6272156,-7.546653200000001,8,2,0,4,104,34,152,0,Town (Small)
The Swan,Laois,52.88901000000001,-7.160559999999999,48,0,0,4,270,32,354,0,Town (Small)
Thomastown,Kilkenny,52.5264574,-7.1383205,150,4,14,34,2110,590,2902,0,Town (Small)
Three Mile House,Monaghan,54.21667,-7.042671299999999,22,0,2,0,130,20,174,0,Town (Small)
Thurles,Tipperary,52.6801064,-7.8044421,184,10,34,184,6750,2124,9286,0,Town (Small)
Tievebane,Donegal,55.0630284,-7.429459,70,2,6,2,490,46,616,0,Town (Small)
Timoleague,Cork,51.6432296,-8.766188699999999,46,0,0,0,266,176,488,0,Town (Small)
Tinahely,Wicklow,52.7997634,-6.463184399999999,184,4,10,4,902,142,1246,0,Town (Small)
Tinryland,Carlow,52.7969671,-6.8957413,40,0,8,4,338,30,420,0,Town (Small)
Tinure,Louth,53.79188,-6.419,142,0,0,8,490,122,762,0,Town (Small)
Tipperary,Tipperary,52.47363910000001,-8.1617622,150,8,20,76,3982,1458,5694,0,Town (Small)
Toomevara,Tipperary,52.85071629999999,-8.0350506,24,0,0,0,186,56,266,0,Town (Small)
Toornafulla,Limerick,52.36463999999999,-9.152849999999999,28,0,0,0,218,20,266,0,Town (Small)
Tower,Cork,51.92518,-8.60797,322,4,2,0,3950,148,4426,0,Town (Small)
Tralee,Kerry,52.2713096,-9.6999325,1118,48,70,90,19390,6268,26984,3,Town (Medium)
Tramore,Waterford,52.16143539999999,-7.1492952,818,30,28,48,10600,2378,13902,0,Town (Small)
Trim,Meath,53.5523666,-6.7866474,1174,18,30,46,8642,2302,12212,0,Town (Small)
Tuam,Galway,53.5141156,-8.8565177,670,22,34,14,8108,2162,11010,0,Town (Small)
Tubbercurry,Sligo,54.0552258,-8.7298236,160,6,14,8,1916,410,2514,0,Town (Small)
Tulla,Clare,52.8692148,-8.7607816,28,0,6,4,684,180,902,0,Town (Small)
Tullaghan,Leitrim,54.468449,-8.3290498,12,0,4,0,312,12,340,0,Town (Small)
Tullamore,Offaly,53.2752768,-7.4924439,1274,28,52,446,12244,3828,17872,3,Town (Medium)
Tullow,Carlow,52.802547,-6.7371517,278,0,20,16,4516,1304,6134,0,Town (Small)
Tullyallen,Louth,53.73661,-6.42244,388,6,4,28,1674,370,2470,0,Town (Small)
Tulsk,Roscommon,53.7799868,-8.2560526,22,0,2,4,184,20,232,0,Town (Small)
Turlough,Mayo,53.8841074,-9.2124764,36,0,2,0,572,8,618,0,Town (Small)
Turloughmore,Galway,53.3821288,-8.853684,30,0,2,0,298,4,334,0,Town (Small)
Two Mile House,Kildare,53.1702248,-6.700301899999999,76,0,2,22,522,80,702,0,Town (Small)
Twomileborris,Tipperary,52.6725745,-7.711432999999999,34,0,2,8,514,50,608,0,Town (Small)
Tyrrellspass,Westmeath,53.3889615,-7.3773447,42,0,2,2,306,74,426,0,Town (Small)
Unionhall,Cork,51.558803,-9.1434791,54,0,0,0,302,66,422,0,Town (Small)
Urlingford,Kilkenny,52.7205983,-7.5821799,120,2,10,12,876,312,1332,0,Town (Small)
Villierstown,Waterford,52.08824449999999,-7.850768,50,0,2,0,240,46,338,0,Town (Small)
Virginia,Cavan,53.8344096,-7.0813222,282,6,18,10,2730,878,3924,0,Town (Small)
Walsh Island or Coolagary,Offaly,53.234638,-7.2138556,68,0,4,8,368,92,540,0,Town (Small)
Waterford city and suburbs,Waterford,52.2593197,-7.110070299999999,3786,284,186,182,48764,14232,67434,2,Town (Large)
Watergrasshill,Cork,52.0113682,-8.3440414,302,0,16,2,2004,456,2780,0,Town (Small)
Waterville,Kerry,51.829465,-10.1745436,102,0,6,0,388,108,604,0,Town (Small)
Westport,Mayo,53.8011505,-9.5223,358,12,10,50,5124,2274,7828,0,Town (Small)
Wexford,Wexford,52.336916,-6.4633381,980,52,66,82,17430,5748,24358,3,Town (Medium)
Whitechurch,Cork,51.9840023,-8.516469899999999,66,4,4,0,1048,12,1134,0,Town (Small)
Whitegate,Clare,52.9505524,-8.3729064,18,0,2,0,172,8,200,0,Town (Small)
Whitegate,Cork,51.8267841,-8.2321121,234,2,4,10,1398,90,1738,0,Town (Small)
Wicklow,Wicklow,52.9808207,-6.044588999999999,1070,38,40,464,11564,2834,16010,3,Town (Medium)
Williamstown,Galway,53.6777196,-8.579964,10,0,2,0,176,28,216,0,Town (Small)
Woodford,Galway,53.0521803,-8.4002368,2,0,4,0,244,26,276,0,Town (Small)
Youghal,Cork,51.9542704,-7.8471707,786,12,36,22,7088,1338,9282,0,Town (Small)
